task_id,difficulty,success,passed_tests,total_tests,turns,model_proposed_calls,executed_calls,read_calls,write_calls,invalid_calls,out_of_schema_calls,duplicate_calls,duplicate_write_actions,completion_step,state_persisted_before_evaluation,predictor_tokens,agent_tokens,total_tokens,duration_seconds,infra_error_type
1c4bd27_3,2,True,4,4,6,13,13,12,1,0,0,0,0,6,True,7622,55597,63219,20.7686,
20c1328_1,2,False,1,9,50,54,54,41,13,0,0,1,0,,True,7698,732532,740230,106.1447,
20c1328_2,2,False,1,9,50,56,54,53,1,2,2,3,0,,True,7675,715915,723590,104.5641,
20c1328_3,2,False,7,9,14,20,20,18,2,0,0,0,0,14,True,7705,146447,154152,34.1797,
23d431c_1,3,False,7,8,15,74,74,72,2,0,0,0,0,15,True,7671,329568,337239,41.7737,
23d431c_2,3,True,8,8,10,13,13,11,2,0,0,0,0,10,True,7665,122107,129772,21.3604,
23d431c_3,3,False,2,8,22,71,71,68,3,0,0,1,0,22,True,7670,492688,500358,59.3309,
245cb43_1,1,False,1,8,50,248,247,247,0,1,1,10,0,,True,7660,1184442,1192102,109.79,
245cb43_2,1,False,5,8,7,21,21,20,1,0,0,0,0,7,True,7645,50345,57990,24.5153,
245cb43_3,1,False,7,8,8,11,11,9,2,0,0,0,0,8,True,7659,50515,58174,19.1121,
258796c_1,2,True,2,2,9,14,14,13,1,0,0,0,0,9,True,7665,75972,83637,14.8919,
258796c_2,2,True,2,2,10,12,12,11,1,0,0,0,0,10,True,7666,83041,90707,15.1683,
258796c_3,2,True,2,2,7,12,12,11,1,0,0,0,0,7,True,7651,53125,60776,13.3984,
277d81d_1,1,True,6,6,7,26,26,25,1,0,0,0,0,7,True,7632,83551,91183,42.0318,
277d81d_2,1,True,6,6,8,46,45,44,1,1,1,0,0,8,True,7627,145366,152993,49.5526,
277d81d_3,1,True,6,6,7,27,27,26,1,0,0,0,0,7,True,7632,85833,93465,36.1154,
2e9b91e_1,1,True,5,5,9,11,9,7,2,2,2,0,0,9,True,7634,55314,62948,16.863,
2e9b91e_2,1,False,4,5,7,9,8,6,2,1,1,0,0,7,True,7634,40116,47750,13.9236,
2e9b91e_3,1,True,5,5,9,10,9,7,2,1,1,0,0,9,True,7634,53118,60752,14.7191,
2ff4dfb_1,2,True,9,9,6,11,11,6,5,0,0,0,0,6,True,7661,53623,61284,15.2886,
2ff4dfb_2,2,True,9,9,7,12,11,6,5,1,1,0,0,7,True,7661,67648,75309,18.4366,
2ff4dfb_3,2,True,9,9,7,11,11,6,5,0,0,0,0,7,True,7661,65863,73524,15.5171,
30e8586_1,2,False,6,10,50,60,59,52,7,1,1,3,1,,True,7737,874193,881930,112.6569,
30e8586_2,2,False,2,10,50,57,57,52,5,1,0,7,0,,True,7741,850364,858105,103.0589,
30e8586_3,2,False,1,10,50,164,162,156,6,2,2,5,0,,True,7745,1335430,1343175,202.9802,
321ec38_1,3,False,7,8,7,9,9,7,2,0,0,0,0,7,True,7649,58366,66015,12.9167,
321ec38_2,3,False,7,8,7,9,8,6,2,1,1,0,0,7,True,7642,61752,69394,12.4333,
321ec38_3,3,False,7,8,6,9,8,6,2,1,1,0,0,6,True,7644,48813,56457,13.5491,
33e202d_1,3,False,7,10,13,49,48,22,26,1,1,0,0,13,True,7796,220142,227938,84.636,
33e202d_2,3,False,7,10,13,62,60,18,42,2,2,0,0,13,True,7794,228041,235835,97.3145,
33e202d_3,3,False,7,10,13,41,39,21,18,2,2,0,0,13,True,7796,202259,210055,65.8442,
3650990_1,1,True,2,2,6,8,7,6,1,1,1,0,0,6,True,7603,44053,51656,15.6335,
3650990_2,1,True,2,2,6,8,7,6,1,1,1,0,0,6,True,7602,42244,49846,15.7012,
3650990_3,1,True,2,2,8,10,9,8,1,1,1,0,0,8,True,7617,69365,76982,19.0752,
365e0a3_1,1,True,2,2,5,6,6,5,1,0,0,0,0,5,True,7608,25347,32955,9.2117,
365e0a3_2,1,True,2,2,5,7,7,6,1,0,0,0,0,5,True,7610,26510,34120,10.2486,
365e0a3_3,1,True,2,2,5,7,7,6,1,0,0,0,0,5,True,7608,26301,33909,9.4061,
36705ae_1,3,True,18,18,11,23,22,14,8,1,1,0,0,11,True,7735,143998,151733,41.2741,
36705ae_2,3,True,18,18,9,22,22,15,7,0,0,0,0,9,True,7714,123476,131190,41.9063,
36705ae_3,3,True,18,18,11,23,23,15,8,0,0,0,0,11,True,7715,156710,164425,41.6617,
383a053_1,2,False,1,9,50,158,158,154,4,0,0,4,1,,True,7681,872601,880282,188.0774,
383a053_2,2,False,6,9,42,191,191,186,5,0,0,4,0,42,True,7664,860241,867905,209.6657,
383a053_3,2,False,5,9,46,198,197,193,4,1,1,3,0,46,True,7663,892420,900083,227.2774,
3f3c139_1,2,False,4,8,7,22,21,11,10,1,1,3,0,7,True,7647,51239,58886,26.5431,
3f3c139_2,2,True,8,8,7,22,21,11,10,1,1,3,0,7,True,7647,51168,58815,26.0432,
3f3c139_3,2,False,4,8,6,22,21,8,13,1,1,0,0,6,True,7641,41732,49373,25.6748,
3fcc458_1,3,False,5,12,50,42,40,22,18,2,2,14,6,,True,7712,1101050,1108762,179.445,
3fcc458_2,3,False,7,12,35,58,55,41,14,4,3,5,0,35,True,7707,975305,983012,261.813,
3fcc458_3,3,False,5,12,50,50,48,39,9,3,2,10,2,,True,7715,2468085,2475800,820.5562,
4242c97_1,2,True,8,8,12,14,13,11,2,1,1,0,0,12,True,7682,116928,124610,23.5015,
4242c97_2,2,True,8,8,10,12,12,10,2,0,0,0,0,10,True,7676,98688,106364,21.8145,
4242c97_3,2,False,4,8,11,13,13,11,2,0,0,0,0,11,True,7678,106265,113943,24.0523,
432dc7a_1,3,False,1,8,50,55,54,53,1,1,1,3,0,,True,7699,786781,794480,109.7936,
432dc7a_2,3,False,1,8,50,54,54,53,1,0,0,5,0,,True,7699,775092,782791,96.8966,
432dc7a_3,3,False,1,8,44,51,50,47,3,1,1,18,0,44,True,7699,625027,632726,81.0284,
4441ee9_1,3,True,11,11,19,30,28,27,1,2,2,1,0,19,True,7717,566142,573859,60.5639,
4441ee9_2,3,True,11,11,15,32,31,30,1,1,1,0,0,15,True,7710,382247,389957,57.7085,
4441ee9_3,3,True,11,11,11,30,29,28,1,1,1,0,0,11,True,7717,165887,173604,42.7171,
476b213_1,2,True,2,2,22,82,81,80,1,1,1,6,0,22,True,7610,235307,242917,105.2832,
476b213_2,2,False,1,2,11,12,12,11,1,0,0,3,0,11,True,7612,62818,70430,24.3699,
476b213_3,2,False,1,2,50,291,291,291,0,0,0,17,0,,True,7610,1350777,1358387,319.3627,
4815c06_1,2,True,9,9,26,49,48,38,10,1,1,9,0,26,True,7734,273551,281285,62.5604,
4815c06_2,2,True,9,9,12,23,23,14,9,0,0,2,0,12,True,7736,114901,122637,35.1583,
4815c06_3,2,True,9,9,11,22,22,13,9,0,0,2,0,11,True,7723,104862,112585,29.3764,
4ac4a8d_1,3,False,11,12,13,16,15,13,2,1,1,2,0,13,True,7727,121285,129012,42.3286,
4ac4a8d_2,3,True,12,12,14,17,15,12,3,2,2,1,0,14,True,7736,146247,153983,33.9019,
4ac4a8d_3,3,False,5,12,18,22,20,17,3,2,2,5,0,18,True,7720,206640,214360,56.4631,
4d12842_1,1,True,4,4,7,30,30,7,23,0,0,0,0,7,True,7621,64490,72111,33.7872,
4d12842_2,1,True,4,4,6,19,19,6,13,0,0,0,0,6,True,7620,48315,55935,21.3887,
4d12842_3,1,True,4,4,6,23,23,6,17,0,0,0,0,6,True,7623,49977,57600,24.6097,
5238afc_1,1,False,1,7,25,26,25,24,1,1,1,10,0,25,True,7605,172952,180557,52.3152,
5238afc_2,1,False,1,7,50,51,50,50,0,1,1,3,0,,True,7604,568362,575966,112.3069,
5238afc_3,1,False,1,7,50,131,131,131,0,0,0,11,0,,True,7622,1652731,1660353,514.5627,
5800354_1,3,True,7,7,15,17,17,15,2,0,0,1,0,15,True,7673,143221,150894,-1683881193.0184,
5800354_2,3,True,7,7,15,17,17,15,2,0,0,1,0,15,True,7673,141623,149296,28.226,
5800354_3,3,True,7,7,12,16,16,14,2,0,0,0,0,12,True,7673,121059,128732,25.2372,
59bcfc8_1,3,False,1,10,50,55,55,50,5,0,0,7,1,,True,7711,900831,908542,92.9398,
59bcfc8_2,3,False,1,10,50,51,50,45,5,1,1,3,1,,True,7713,699131,706844,93.4768,
59bcfc8_3,3,False,1,10,50,115,115,112,3,0,0,2,0,,True,7706,980153,987859,-1683877526.2323,
5e27cd7_1,1,True,4,4,7,16,16,6,10,0,0,0,0,7,True,7611,84483,92094,21.2525,
5e27cd7_2,1,True,4,4,6,14,14,5,9,0,0,0,0,6,True,7611,47247,54858,18.8923,
5e27cd7_3,1,True,4,4,6,10,10,5,5,0,0,0,0,6,True,7611,50627,58238,14.3282,
6474048_1,2,False,6,8,10,12,11,9,2,1,1,0,0,10,True,7685,74638,82323,21.3996,
6474048_2,2,False,7,8,12,16,15,13,2,1,1,0,0,12,True,7708,94828,102536,22.4566,
6474048_3,2,False,7,8,11,14,13,11,2,1,1,0,0,11,True,7697,96110,103807,22.1978,
6588a51_1,1,True,6,6,6,7,7,6,1,0,0,0,0,6,True,7629,55150,62779,12.7415,
6588a51_2,1,True,6,6,6,7,7,6,1,0,0,0,0,6,True,7632,53681,61313,11.8266,
6588a51_3,1,True,6,6,6,7,7,6,1,0,0,0,0,6,True,7633,50580,58213,13.5498,
66b7899_1,2,True,5,5,11,15,12,10,2,3,3,0,0,11,True,7632,149805,157437,33.6503,
66b7899_2,2,True,5,5,10,13,10,8,2,3,3,0,0,10,True,7632,104332,111964,20.8316,
66b7899_3,2,False,4,5,10,15,12,10,2,3,3,0,0,10,True,7632,135931,143563,36.9857,
690d51b_1,2,False,4,8,37,38,37,35,2,1,1,1,0,37,True,7649,359201,366850,70.3642,
690d51b_2,2,False,7,8,49,51,50,47,3,1,1,3,0,49,True,7655,547447,555102,98.1402,
690d51b_3,2,False,1,8,50,51,49,48,1,2,2,1,0,,True,7649,546993,554642,92.9977,
69ba40f_1,3,True,12,12,7,29,29,12,17,0,0,0,0,7,True,7657,81992,89649,42.3221,
69ba40f_2,3,True,12,12,7,26,26,11,15,0,0,0,0,7,True,7665,81136,88801,36.7148,
69ba40f_3,3,True,12,12,7,30,30,13,17,0,0,0,0,7,True,7675,82949,90624,41.7792,
6a5e690_1,1,True,7,7,6,12,12,5,7,0,0,0,0,6,True,7620,40304,47924,16.5861,
6a5e690_2,1,True,7,7,6,15,15,5,10,0,0,0,0,6,True,7620,41837,49457,20.7656,
6a5e690_3,1,True,7,7,5,11,11,4,7,0,0,0,0,5,True,7620,32277,39897,15.9646,
6d59d90_1,3,False,7,10,36,42,42,33,9,0,0,18,4,36,True,7728,492596,500324,97.9419,
6d59d90_2,3,False,1,10,28,27,26,17,9,1,1,2,0,28,True,7717,668854,676571,315.9275,
6d59d90_3,3,False,8,10,50,54,52,45,7,2,2,24,3,,True,7722,722275,729997,120.4973,
7238049_1,3,False,3,8,11,12,11,5,6,1,1,2,1,11,True,7641,67710,75351,31.5076,
7238049_2,3,False,1,8,50,49,47,22,25,2,2,19,8,,True,7636,552976,560612,160.5857,
7238049_3,3,False,2,8,50,37,35,18,17,2,2,18,4,,True,7641,1417548,1425189,705.1837,
7264edc_1,3,True,4,4,8,16,15,11,4,1,1,0,0,8,True,7661,78765,86426,23.2643,
7264edc_2,3,True,4,4,7,12,11,7,4,1,1,0,0,7,True,7661,58190,65851,19.5944,
7264edc_3,3,True,4,4,6,14,14,9,5,0,0,0,0,6,True,7661,61806,69467,20.3832,
7434096_1,2,False,5,6,15,17,15,14,1,2,2,0,0,15,True,7663,236723,244386,46.1759,
7434096_2,2,False,5,6,10,13,11,10,1,2,2,0,0,10,True,7660,130597,138257,41.9261,
7434096_3,2,False,5,6,9,12,10,9,1,2,2,0,0,9,True,7663,102936,110599,27.4202,
7574325_1,2,False,4,5,6,7,6,3,3,1,1,0,0,6,True,7605,30354,37959,14.925,
7574325_2,2,False,4,5,6,7,6,3,3,1,1,0,0,6,True,7605,30822,38427,15.6873,
7574325_3,2,False,4,5,5,6,5,3,2,1,1,0,0,5,True,7606,24402,32008,12.7314,
77bcb81_1,2,False,2,7,46,233,226,225,1,7,7,13,0,46,True,7622,1225232,1232854,300.239,
77bcb81_2,2,False,1,7,50,278,271,271,0,7,7,8,0,,True,7622,1375535,1383157,323.9593,
77bcb81_3,2,False,1,7,50,350,349,349,0,1,1,2,0,,True,7622,1612019,1619641,380.6059,
7b97e6d_1,2,False,1,8,50,107,105,105,0,2,2,17,0,,True,7630,645338,652968,86.1008,
7b97e6d_2,2,False,4,8,8,16,16,8,8,0,0,0,0,8,True,7644,58942,66586,30.5578,
7b97e6d_3,2,False,1,8,50,57,55,45,10,2,2,7,4,,True,7630,692750,700380,117.0385,
7bdaf23_1,2,True,8,8,7,12,11,9,2,1,1,0,0,7,True,7649,65076,72725,18.9807,
7bdaf23_2,2,True,8,8,8,13,12,9,3,1,1,0,0,8,True,7658,79319,86977,19.4709,
7bdaf23_3,2,True,8,8,7,12,11,8,3,1,1,0,0,7,True,7650,55207,62857,20.2601,
7d26579_1,1,True,2,2,8,9,9,8,1,1,0,0,0,8,True,7637,81397,89034,17.1217,
7d26579_2,1,True,2,2,7,8,8,7,1,1,0,0,0,7,True,7636,69800,77436,14.6187,
7d26579_3,1,True,2,2,7,8,8,7,1,0,0,0,0,7,True,7637,46891,54528,12.8968,
7e1be84_1,3,False,1,8,50,57,55,41,14,4,2,17,0,,True,7651,721323,728974,-1683879096.3045,
7e1be84_2,3,True,8,8,12,16,15,13,2,3,1,0,0,12,True,7657,108263,115920,22.2296,
7e1be84_3,3,False,4,8,10,13,13,11,2,0,0,0,0,10,True,7656,85101,92757,20.7979,
80acbaf_1,3,False,0,9,50,105,104,98,6,1,1,21,3,,True,7724,1362181,1369905,124.7825,
80acbaf_2,3,False,4,9,29,79,77,73,4,2,2,9,2,29,True,7712,806801,814513,86.8288,
80acbaf_3,3,False,4,9,36,62,61,55,6,1,1,19,4,36,True,7712,1354576,1362288,87.1313,
81be677_1,1,True,2,2,4,6,6,5,1,0,0,0,0,4,True,7619,28327,35946,9.6295,
81be677_2,1,True,2,2,4,6,6,5,1,0,0,0,0,4,True,7620,27658,35278,9.3431,
81be677_3,1,True,2,2,4,6,6,5,1,0,0,0,0,4,True,7620,27087,34707,9.378,
82d2e01_1,3,False,1,6,41,33,30,29,1,3,3,11,0,41,True,7657,1442356,1450013,493.1929,
82d2e01_2,3,False,4,6,43,29,25,23,2,5,4,2,0,43,True,7657,2049126,2056783,733.5228,
82d2e01_3,3,False,0,6,50,25,21,21,0,4,4,5,0,,True,7654,3755195,3762849,1110.8041,
8a13317_1,2,True,7,7,9,17,17,12,5,3,0,0,0,9,True,7660,102982,110642,22.8403,
8a13317_2,2,True,7,7,9,17,17,12,5,3,0,0,0,9,True,7661,100162,107823,21.9104,
8a13317_3,2,True,7,7,8,14,14,9,5,0,0,0,0,8,True,7666,90715,98381,18.3328,
8d42650_1,3,False,3,10,50,31,29,23,6,2,2,3,0,,True,7739,6031226,6038965,1360.418,
8d42650_2,3,False,3,10,50,58,54,30,24,4,4,9,3,,True,7738,2392438,2400176,652.9111,
8d42650_3,3,False,3,10,50,46,42,37,5,4,4,4,0,,True,7739,2840524,2848263,842.9605,
8f79e35_1,3,False,3,8,45,63,60,58,2,3,3,12,0,45,True,7686,1086999,1094685,154.2173,
8f79e35_2,3,False,3,8,50,40,38,38,0,2,2,6,0,,True,7691,1850956,1858647,682.0919,
8f79e35_3,3,False,3,8,50,70,68,68,0,2,2,6,0,,True,7686,1182959,1190645,287.9814,
906f2c7_1,3,True,10,10,8,10,10,8,2,0,0,0,0,8,True,7681,72483,80164,16.9411,
906f2c7_2,3,True,10,10,9,12,12,10,2,0,0,0,0,9,True,7681,83530,91211,21.3686,
906f2c7_3,3,True,10,10,9,10,10,8,2,0,0,0,0,9,True,7681,79091,86772,18.8475,
9126bf0_1,2,True,7,7,8,10,10,8,2,0,0,1,0,8,True,7644,82281,89925,17.1206,
9126bf0_2,2,True,7,7,8,10,10,8,2,0,0,1,0,8,True,7644,62196,69840,16.2359,
9126bf0_3,2,True,7,7,8,10,10,8,2,0,0,1,0,8,True,7649,78433,86082,18.2472,
92fe421_1,3,True,5,5,13,17,15,12,3,2,2,0,0,13,True,7660,123858,131518,35.4111,
92fe421_2,3,False,3,5,7,12,11,9,2,1,1,0,0,7,True,7686,65339,73025,19.6335,
92fe421_3,3,False,4,5,10,15,14,11,3,1,1,0,0,10,True,7683,89299,96982,23.3759,
953b296_1,2,False,8,9,12,23,23,21,2,0,0,0,0,12,True,7709,234483,242192,34.4434,
953b296_2,2,True,9,9,21,53,53,51,2,0,0,0,0,21,True,7702,623729,631431,59.3276,
953b296_3,2,True,9,9,16,35,35,33,2,0,0,0,0,16,True,7709,367025,374734,44.4173,
96bf160_1,2,True,8,8,7,13,13,12,1,0,0,0,0,7,True,7657,63523,71180,21.6317,
96bf160_2,2,True,8,8,8,10,10,9,1,0,0,0,0,8,True,7657,65165,72822,17.9569,
96bf160_3,2,True,8,8,8,11,11,10,1,0,0,0,0,8,True,7657,67992,75649,20.8965,
9871968_1,2,False,1,7,50,143,142,137,5,1,1,1,0,,True,7630,775927,783557,190.9016,
9871968_2,2,False,1,7,50,132,130,123,7,2,2,2,0,,True,7624,747160,754784,176.5417,
9871968_3,2,False,6,7,26,107,107,99,8,0,0,2,0,26,True,7630,312698,320328,123.7045,
988af8e_1,3,False,9,24,12,21,20,14,6,1,1,3,0,12,True,7645,112680,120325,43.3428,
988af8e_2,3,False,9,24,15,20,18,12,6,3,2,3,0,15,True,7645,140305,147950,40.3865,
988af8e_3,3,False,9,24,17,22,18,12,6,5,4,4,0,17,True,7645,174050,181695,56.1103,
98d2608_1,1,False,1,8,50,66,63,63,0,4,3,2,0,,True,7645,1052961,1060606,115.6818,
98d2608_2,1,False,1,8,50,52,48,48,0,5,4,1,0,,True,7631,994818,1002449,103.7769,
98d2608_3,1,True,8,8,50,53,51,49,2,3,2,3,0,50,True,7631,1235685,1243316,110.2947,
998908e_1,3,False,2,5,50,69,67,22,45,2,2,31,28,,True,7637,2748633,2756270,173.1559,
998908e_2,3,False,2,5,50,49,47,30,17,2,2,13,3,,True,7636,3985811,3993447,978.9605,
998908e_3,3,False,2,5,50,62,60,48,12,2,2,5,2,,True,7637,3543236,3550873,171.6386,
9a16324_1,3,True,5,5,8,55,55,54,1,15,0,0,0,8,True,7694,123961,131655,46.0274,
9a16324_2,3,True,5,5,8,59,59,58,1,16,0,0,0,8,True,7689,128859,136548,51.1546,
9a16324_3,3,False,3,5,9,42,42,41,1,10,0,0,0,9,True,7689,99900,107589,37.2895,
9aae7da_1,1,False,1,2,22,31,29,28,1,2,2,9,0,22,True,7619,159376,166995,43.5231,
9aae7da_2,1,True,2,2,4,6,6,5,1,0,0,0,0,4,True,7619,20094,27713,9.2488,
9aae7da_3,1,True,2,2,4,6,6,5,1,0,0,0,0,4,True,7619,19965,27584,9.6149,
9b2dc64_1,2,True,10,10,10,12,12,9,3,0,0,1,0,10,True,7681,121341,129022,21.6682,
9b2dc64_2,2,True,10,10,10,13,13,10,3,0,0,0,0,10,True,7679,128276,135955,22.5072,
9b2dc64_3,2,True,10,10,8,11,11,8,3,0,0,0,0,8,True,7680,66066,73746,18.8892,
9bf2c8a_1,1,True,6,6,5,7,7,6,1,0,0,0,0,5,True,7636,31316,38952,10.6063,
9bf2c8a_2,1,True,6,6,10,25,25,16,9,0,0,0,0,10,True,7635,72311,79946,26.4978,
9bf2c8a_3,1,True,6,6,5,9,9,8,1,0,0,0,0,5,True,7636,31336,38972,12.6801,
9ef034e_1,3,False,1,9,10,14,9,8,1,5,5,1,0,10,True,7638,75218,82856,28.3636,
9ef034e_2,3,False,2,9,12,15,11,10,1,4,4,1,0,12,True,7639,104339,111978,-1683878870.4707,
9ef034e_3,3,False,2,9,10,13,9,8,1,4,4,1,0,10,True,7638,79987,87625,-1683878262.2537,
a132254_1,2,True,9,9,6,7,7,6,1,0,0,0,0,6,True,7640,39116,46756,11.4807,
a132254_2,2,True,9,9,6,7,7,6,1,0,0,0,0,6,True,7639,39015,46654,11.9261,
a132254_3,2,True,9,9,6,7,7,6,1,0,0,0,0,6,True,7641,38762,46403,12.1976,
a1d3dfd_1,3,True,11,11,19,62,61,58,3,1,1,1,0,19,True,7675,210786,218461,53.526,
a1d3dfd_2,3,False,10,11,20,76,75,72,3,1,1,1,0,20,True,7675,275809,283484,58.8553,
a1d3dfd_3,3,True,11,11,13,59,58,55,3,1,1,0,0,13,True,7675,133294,140969,38.4743,
a3ba388_1,2,False,3,9,6,10,9,8,1,1,1,0,0,6,True,7673,40074,47747,17.9165,
a3ba388_2,2,False,4,9,25,25,25,24,1,0,0,4,0,25,True,7684,623715,631399,266.8707,
a3ba388_3,2,False,3,9,7,10,9,8,1,1,1,0,0,7,True,7676,48094,55770,22.3843,
a53a8fd_1,3,False,2,10,50,48,47,47,0,1,1,23,0,,True,7686,1832280,1839966,770.8973,
a53a8fd_2,3,False,2,10,21,32,31,30,1,1,1,4,0,21,True,7686,235376,243062,72.3678,
a53a8fd_3,3,False,2,10,50,81,80,80,0,1,1,26,0,,True,7686,868557,876243,136.7505,
a5b0084_1,3,False,3,8,50,24,23,12,11,1,1,11,6,,True,7643,3964966,3972609,1274.0057,
a5b0084_2,3,False,3,8,50,17,15,11,4,2,2,5,1,,True,7643,2073807,2081450,469.6753,
a5b0084_3,3,False,7,8,9,12,11,5,6,1,1,1,1,9,True,7644,55466,63110,32.3686,
a676f2a_1,3,False,5,7,16,24,20,15,5,4,4,0,0,16,True,7719,215035,222754,60.0024,
a676f2a_2,3,True,7,7,20,32,28,21,7,4,4,1,0,20,True,7733,645724,653457,98.1906,
a676f2a_3,3,True,7,7,13,25,23,16,7,2,2,0,0,13,True,7719,149831,157550,60.3786,
a7179fa_1,3,True,9,9,6,16,16,12,4,0,0,0,0,6,True,7724,53180,60904,23.1451,
a7179fa_2,3,True,9,9,6,16,16,11,5,0,0,0,0,6,True,7729,53650,61379,23.6761,
a7179fa_3,3,True,9,9,7,17,17,11,6,0,0,0,0,7,True,7730,64118,71848,27.8,
a8f302f_1,2,False,3,9,50,214,209,209,0,5,5,9,0,,True,7663,1121856,1129519,248.2141,
a8f302f_2,2,False,3,9,50,73,73,73,0,0,0,2,0,,True,7663,814615,822278,120.4546,
a8f302f_3,2,False,3,9,50,76,76,76,0,0,0,3,0,,True,7663,868973,876636,119.9395,
a97e35d_1,3,False,8,14,15,37,36,35,1,1,1,1,0,15,True,7715,197945,205660,62.4713,
a97e35d_2,3,False,13,14,12,33,29,28,1,4,4,1,0,12,True,7707,153028,160735,56.8157,
a97e35d_3,3,False,11,14,14,37,32,31,1,5,5,1,0,14,True,7709,207726,215435,70.4983,
aaa25aa_1,3,False,1,8,8,10,8,7,1,2,2,0,0,8,True,7632,50872,58504,26.4146,
aaa25aa_2,3,False,2,8,8,11,9,8,1,2,2,0,0,8,True,7630,53766,61396,29.9352,
aaa25aa_3,3,False,1,8,10,11,9,8,1,2,2,1,0,10,True,7624,77069,84693,35.7717,
ac62177_1,2,True,7,7,13,36,35,14,21,1,1,2,0,13,True,7653,136766,144419,52.9444,
ac62177_2,2,True,7,7,11,33,32,12,20,1,1,0,0,11,True,7653,105192,112845,40.9615,
ac62177_3,2,True,7,7,9,27,27,11,16,0,0,0,0,9,True,7662,79906,87568,33.4072,
adb1060_1,3,False,7,9,8,17,16,6,10,1,1,0,0,8,True,7666,57719,65385,29.8944,
adb1060_2,3,True,9,9,10,20,18,7,11,2,2,0,0,10,True,7667,77979,85646,38.5917,
