domain,task_id,trial_id,passed,db_match,termination_reason,duration_seconds,turns,tool_calls,invalid_calls,duplicate_calls,duplicate_write_actions,recovery_attempts,recovery_success,total_tokens,failure_type,partial_completion,premature_finish,unintended_side_effects
airline,20,0,True,True,user_stop,78.7344,22,5,0,0,0,0,,96830,none,False,False,0
airline,21,0,False,False,user_stop,58.7462,16,12,0,0,0,0,,79003,db_mismatch,,,
airline,22,0,True,True,user_stop,108.8056,19,10,0,0,0,0,,85997,none,False,False,0
airline,23,0,False,False,user_stop,143.2547,26,8,0,0,0,0,,142653,db_mismatch,,,
airline,24,0,False,False,user_stop,89.1869,14,24,0,0,0,0,,69361,db_mismatch,,,
airline,25,0,False,False,user_stop,51.7094,15,6,0,0,0,0,,61462,db_mismatch,,,
airline,26,0,True,True,user_stop,54.1053,13,4,0,0,0,0,,43767,none,False,False,0
airline,27,0,True,True,user_stop,38.9835,14,12,0,0,0,0,,59559,none,False,False,0
airline,28,0,True,True,user_stop,55.1378,15,3,0,0,0,0,,53049,none,False,False,0
airline,29,0,False,False,user_stop,70.3532,16,6,0,0,0,0,,71733,db_mismatch,,,
airline,30,0,True,True,user_stop,47.6592,14,4,0,0,0,0,,52474,none,False,False,0
airline,31,0,True,True,user_stop,32.1596,11,5,0,0,0,0,,38149,none,False,False,0
airline,32,0,False,False,user_stop,70.2572,18,7,0,0,0,0,,79157,db_mismatch,,,
airline,33,0,True,True,user_stop,138.3464,22,7,1,0,0,0,,113169,none,False,False,0
airline,34,0,True,True,user_stop,64.3418,11,4,0,0,0,0,,42911,none,False,False,0
airline,35,0,False,False,user_stop,157.8648,28,8,0,0,0,0,,151576,db_mismatch,,,
airline,36,0,True,True,user_stop,37.1058,12,2,0,0,0,0,,37122,none,False,False,0
airline,37,0,True,True,user_stop,58.1997,16,6,0,0,0,0,,62264,none,False,False,0
airline,38,0,False,False,user_stop,54.3299,20,6,0,0,0,0,,78351,db_mismatch,,,
airline,39,0,True,True,user_stop,51.5114,13,11,0,0,0,0,,55844,none,False,False,0
airline,40,0,True,True,user_stop,25.0393,12,2,0,0,0,0,,34714,none,False,False,0
airline,41,0,False,False,user_stop,44.1735,13,9,0,0,0,0,,53186,db_mismatch,,,
airline,42,0,True,True,user_stop,63.2192,17,10,0,0,0,0,,77537,none,False,False,0
airline,43,0,True,True,user_stop,48.7906,16,7,0,0,0,0,,60004,none,False,False,0
airline,44,0,False,False,user_stop,92.8381,21,33,0,0,0,0,,134715,db_mismatch,,,
airline,45,0,True,True,user_stop,47.2276,12,4,0,0,0,0,,44142,none,False,False,0
airline,46,0,True,True,user_stop,19.6036,6,0,0,0,0,0,,11984,none,False,False,0
airline,47,0,True,True,user_stop,60.8433,15,2,0,0,0,0,,49707,none,False,False,0
airline,48,0,True,True,user_stop,37.6962,13,3,0,0,0,0,,42959,none,False,False,0
airline,49,0,True,True,user_stop,28.3361,11,3,0,0,0,0,,35514,none,False,False,0
retail,0,0,True,True,user_stop,52.0846,17,6,0,0,0,0,,75499,none,False,False,0
retail,1,0,True,True,user_stop,42.1019,14,5,0,0,0,0,,55948,none,False,False,0
retail,2,0,True,True,user_stop,48.5637,14,10,0,0,0,0,,64111,none,False,False,0
retail,3,0,False,True,user_stop,46.681,16,10,0,0,0,0,,78774,nl_assertion_failed,,,
retail,4,0,False,True,user_stop,58.4145,15,11,0,0,0,0,,80924,nl_assertion_failed,,,
retail,5,0,True,True,user_stop,59.3845,21,8,0,0,0,0,,102270,none,False,False,0
retail,6,0,True,True,user_stop,59.4151,19,8,0,0,0,0,,87579,none,False,False,0
retail,7,0,True,True,user_stop,59.6666,17,8,0,0,0,0,,81645,none,False,False,0
retail,8,0,True,True,user_stop,56.1511,17,8,0,0,0,0,,83069,none,False,False,0
retail,9,0,True,True,user_stop,50.4338,19,8,0,0,0,0,,81893,none,False,False,0
retail,10,0,True,True,user_stop,52.729,17,7,2,0,0,0,,65404,none,False,False,0
retail,11,0,True,True,user_stop,65.8675,21,7,1,0,0,0,,83862,none,False,False,0
retail,12,0,True,True,user_stop,45.252,17,6,1,0,0,0,,65192,none,False,False,0
retail,13,0,True,True,user_stop,43.3971,14,5,0,0,0,0,,51782,none,False,False,0
retail,14,0,True,True,user_stop,34.4433,14,6,0,0,0,0,,50838,none,False,False,0
retail,15,0,True,True,user_stop,87.9421,29,11,1,1,0,1,True,153701,none,False,False,0
retail,16,0,True,True,user_stop,57.2447,18,8,0,0,0,0,,71809,none,False,False,0
retail,17,0,True,True,user_stop,37.2761,14,4,0,0,0,0,,47049,none,False,False,0
retail,18,0,False,False,user_stop,56.5743,19,6,0,0,0,0,,77647,db_mismatch,,,
retail,19,0,True,True,user_stop,50.0878,13,7,0,0,0,0,,55501,none,False,False,0
retail,20,0,True,True,user_stop,64.5457,19,10,0,0,0,0,,92064,none,False,False,0
retail,21,0,True,True,user_stop,60.1538,18,8,0,0,0,0,,80818,none,False,False,0
retail,22,0,True,True,user_stop,53.85,21,8,0,0,0,0,,87211,none,False,False,0
retail,23,0,True,True,user_stop,92.2012,18,13,0,0,0,0,,107263,none,False,False,0
retail,24,0,True,True,user_stop,25.1468,11,6,0,0,0,0,,37827,none,False,False,0
retail,25,0,True,True,user_stop,138.1643,14,7,0,0,0,0,,51396,none,False,False,0
retail,26,0,True,True,user_stop,44.1649,14,7,0,0,0,0,,55213,none,False,False,0
retail,27,0,False,False,user_stop,81.5084,25,10,1,0,0,0,,126233,db_mismatch,,,
retail,28,0,True,True,user_stop,112.0463,35,10,0,0,0,0,,181630,none,False,False,0
retail,29,0,True,True,user_stop,93.4064,15,10,0,0,0,0,,76452,none,False,False,0
retail,30,0,True,True,user_stop,87.1173,32,11,0,0,0,0,,157425,none,False,False,0
retail,31,0,True,True,user_stop,88.1495,25,9,0,0,0,0,,108443,none,False,False,0
retail,32,0,True,True,user_stop,103.8116,29,11,0,0,0,0,,139829,none,False,False,0
retail,33,0,True,True,user_stop,77.1476,19,7,1,0,0,0,,84836,none,False,False,0
retail,34,0,False,False,user_stop,49.0609,16,6,0,0,0,0,,66410,db_mismatch,,,
retail,35,0,True,True,user_stop,64.4078,20,8,1,0,0,0,,86762,none,False,False,0
retail,36,0,False,False,user_stop,79.4701,21,11,2,0,0,1,False,99730,db_mismatch,,,
retail,37,0,False,False,user_stop,81.7785,22,12,2,0,0,1,False,110021,db_mismatch,,,
retail,38,0,False,False,user_stop,66.4013,22,10,1,0,0,0,,100364,db_mismatch,,,
retail,39,0,True,True,user_stop,65.4114,16,6,0,0,0,0,,72363,none,False,False,0
retail,40,0,True,True,user_stop,33.0243,12,4,0,0,0,0,,41617,none,False,False,0
retail,41,0,True,True,user_stop,58.445,17,9,0,0,0,0,,71985,none,False,False,0
retail,42,0,False,False,user_stop,69.9018,20,10,0,1,0,0,,94943,db_mismatch,,,
retail,43,0,False,False,user_stop,39.8334,11,4,0,0,0,0,,38236,db_mismatch,,,
retail,44,0,True,True,user_stop,64.204,15,5,0,0,0,0,,54382,none,False,False,0
retail,45,0,True,True,user_stop,55.923,15,7,0,0,0,0,,62816,none,False,False,0
retail,46,0,True,True,user_stop,58.5117,18,8,0,0,0,0,,77523,none,False,False,0
retail,47,0,True,True,user_stop,101.4188,20,6,0,0,0,0,,79556,none,False,False,0
retail,48,0,True,True,user_stop,46.939,16,6,0,0,0,0,,58398,none,False,False,0
retail,49,0,True,True,user_stop,57.4833,15,9,0,0,0,0,,67620,none,False,False,0
retail,50,0,True,True,user_stop,48.859,12,4,0,0,0,0,,43436,none,False,False,0
retail,51,0,True,True,user_stop,57.9079,17,7,0,0,0,0,,65574,none,False,False,0
retail,52,0,True,True,user_stop,60.7568,17,8,0,0,0,0,,73233,none,False,False,0
retail,53,0,True,True,user_stop,51.5614,16,7,0,0,0,0,,60078,none,False,False,0
retail,54,0,True,True,user_stop,144.1465,22,15,2,0,0,0,,111489,none,False,False,0
retail,55,0,True,True,user_stop,148.6516,18,14,1,1,0,1,True,99992,none,False,False,0
retail,56,0,True,True,user_stop,70.1662,17,7,0,0,0,0,,69602,none,False,False,0
retail,57,0,True,True,user_stop,85.591,16,2,0,0,0,0,,49024,none,False,False,0
retail,58,0,True,True,user_stop,62.0024,17,8,0,0,0,0,,82629,none,False,False,0
retail,59,0,False,False,user_stop,68.7921,15,4,0,0,0,0,,57564,db_mismatch,,,
retail,60,0,True,True,user_stop,45.1207,12,4,0,0,0,0,,44898,none,False,False,0
retail,61,0,True,True,user_stop,58.7814,14,4,0,0,0,0,,52049,none,False,False,0
retail,62,0,True,True,user_stop,57.6353,14,6,0,0,0,0,,55180,none,False,False,0
retail,63,0,True,True,user_stop,69.3458,20,8,0,0,0,0,,92062,none,False,False,0
retail,64,0,False,False,user_stop,69.937,19,7,0,0,0,0,,75835,db_mismatch,,,
retail,65,0,True,True,user_stop,31.028,11,3,0,0,0,0,,35570,none,False,False,0
retail,66,0,True,True,user_stop,70.0623,23,8,0,0,0,0,,102984,none,False,False,0
retail,67,0,True,True,user_stop,53.5754,17,5,2,0,0,0,,59457,none,False,False,0
retail,68,0,True,True,user_stop,39.5569,16,4,1,0,0,0,,51138,none,False,False,0
retail,69,0,False,False,user_stop,56.0388,16,6,0,0,0,0,,58312,db_mismatch,,,
retail,70,0,True,True,user_stop,44.1032,13,8,0,0,0,0,,56542,none,False,False,0
retail,71,0,False,False,user_stop,161.431,24,6,0,0,0,0,,107882,db_mismatch,,,
retail,72,0,True,True,user_stop,96.2653,21,10,0,0,0,0,,110710,none,False,False,0
retail,73,0,True,True,user_stop,48.4356,14,4,0,0,0,0,,49129,none,False,False,0
retail,74,0,False,False,user_stop,90.7857,20,9,0,0,0,0,,104813,db_mismatch,,,
retail,75,0,True,True,user_stop,50.7105,13,5,0,0,0,0,,49708,none,False,False,0
retail,76,0,True,True,user_stop,63.0987,15,11,0,0,0,0,,73685,none,False,False,0
retail,77,0,True,True,user_stop,33.3279,13,5,0,0,0,0,,48016,none,False,False,0
retail,78,0,True,True,user_stop,87.5168,17,9,0,0,0,0,,88714,none,False,False,0
retail,79,0,False,False,user_stop,56.9816,15,7,0,0,0,0,,65977,db_mismatch,,,
retail,80,0,True,True,user_stop,80.747,17,6,0,0,0,0,,73557,none,False,False,0
retail,81,0,True,True,user_stop,58.1167,14,8,0,0,0,0,,55918,none,False,False,0
retail,82,0,True,True,user_stop,118.575,17,8,1,0,0,0,,72521,none,False,False,0
retail,83,0,True,True,user_stop,68.6857,21,8,1,0,0,0,,85575,none,False,False,0
retail,84,0,True,True,user_stop,59.0305,16,7,0,0,0,0,,63172,none,False,False,0
retail,85,0,True,True,user_stop,45.5515,17,9,0,0,0,0,,67700,none,False,False,0
retail,86,0,True,True,user_stop,44.1846,13,10,0,0,0,0,,53827,none,False,False,0
retail,87,0,True,True,user_stop,42.6,12,11,0,0,0,0,,46207,none,False,False,0
retail,88,0,True,True,user_stop,55.1566,15,6,0,0,0,0,,60579,none,False,False,0
retail,89,0,False,False,user_stop,51.9476,15,6,0,0,0,0,,69369,db_mismatch,,,
retail,90,0,True,True,user_stop,55.7877,17,7,0,0,0,0,,71987,none,False,False,0
retail,91,0,False,False,user_stop,97.3281,19,8,0,0,0,0,,88147,db_mismatch,,,
retail,92,0,False,False,user_stop,65.0128,16,6,0,0,0,0,,64699,db_mismatch,,,
retail,93,0,True,True,user_stop,45.824,17,7,0,0,0,0,,71419,none,False,False,0
retail,94,0,True,True,user_stop,53.0222,15,7,0,0,0,0,,65619,none,False,False,0
retail,95,0,True,True,user_stop,54.5833,16,8,0,0,0,0,,80308,none,False,False,0
retail,96,0,True,True,user_stop,53.4005,16,7,0,0,0,0,,67696,none,False,False,0
retail,97,0,True,True,user_stop,64.732,18,7,0,0,0,0,,79546,none,False,False,0
retail,98,0,False,False,user_stop,81.8574,18,12,0,0,0,0,,105015,db_mismatch,,,
retail,99,0,True,True,user_stop,83.9402,20,11,0,0,0,0,,112369,none,False,False,0
retail,100,0,True,True,user_stop,75.8467,18,11,0,0,0,0,,98128,none,False,False,0
retail,101,0,True,True,user_stop,118.1727,24,10,0,0,0,0,,121646,none,False,False,0
retail,102,0,True,True,user_stop,77.2318,22,10,0,0,0,0,,107839,none,False,False,0
retail,103,0,True,True,user_stop,99.0935,32,13,0,1,0,0,,183892,none,False,False,0
retail,104,0,False,False,user_stop,99.9002,26,13,0,0,0,0,,154806,db_mismatch,,,
retail,105,0,False,True,user_stop,75.2013,21,5,0,0,0,0,,88035,nl_assertion_failed,,,
retail,106,0,False,False,user_stop,104.4386,20,8,1,0,0,0,,86520,db_mismatch,,,
retail,107,0,True,True,user_stop,72.1052,19,10,0,0,0,0,,86995,none,False,False,0
retail,108,0,True,True,user_stop,54.6507,17,7,1,0,0,0,,69407,none,False,False,0
retail,109,0,True,True,user_stop,73.6573,18,8,0,0,0,0,,83068,none,False,False,0
retail,110,0,True,True,user_stop,95.0884,21,8,0,0,0,0,,99861,none,False,False,0
retail,111,0,True,True,user_stop,67.3861,15,11,0,0,0,0,,74428,none,False,False,0
retail,112,0,True,True,user_stop,86.7234,24,11,0,0,0,0,,111320,none,False,False,0
retail,113,0,True,True,user_stop,45.6881,14,8,0,0,0,0,,53469,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None],0,True,True,user_stop,65.7702,21,5,0,0,0,0,,120426,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|data_mode_off[PERSONA:None],0,True,True,user_stop,75.9899,24,5,0,0,0,0,,141296,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard],0,True,True,user_stop,58.9388,25,5,0,0,0,0,,147241,none,False,False,0
telecom,[mobile_data_issue]data_saver_mode_on|user_abroad_roaming_enabled_off[PERSONA:Easy],0,True,True,user_stop,64.0017,26,7,0,0,0,0,,159431,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Hard],0,True,True,user_stop,58.5276,24,5,0,0,0,0,,142709,none,False,False,0
telecom,[mobile_data_issue]data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0,True,False,user_stop,53.0201,22,6,0,0,0,0,,131519,none,False,False,0
telecom,[mobile_data_issue]data_mode_off|data_usage_exceeded[PERSONA:None],0,True,False,user_stop,67.0111,24,6,0,0,0,0,,145817,none,False,False,0
telecom,[mobile_data_issue]data_saver_mode_on|data_usage_exceeded[PERSONA:Easy],0,True,False,user_stop,81.8198,29,7,0,0,0,0,,182559,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy],0,True,True,user_stop,75.9207,32,5,0,0,0,0,,193601,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],0,True,False,user_stop,47.7597,21,6,0,0,0,0,,121305,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_enabled_off[PERSONA:Easy],0,True,True,user_stop,70.9083,30,6,0,0,0,0,,190430,none,False,False,0
telecom,[mobile_data_issue]bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],0,True,False,user_stop,63.9407,33,6,0,0,0,0,,199965,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_on[PERSONA:None],0,True,False,user_stop,51.8132,23,6,0,0,0,0,,134237,none,False,False,0
telecom,[mobile_data_issue]data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0,True,False,user_stop,51.1791,21,7,0,0,0,0,,128659,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_off[PERSONA:Hard],0,True,False,user_stop,64.2556,28,6,0,0,0,0,,172127,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|data_saver_mode_on|data_usage_exceeded[PERSONA:Hard],0,True,False,user_stop,75.7525,31,6,0,0,0,0,,200512,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],0,True,False,user_stop,68.5971,30,6,0,0,0,0,,186587,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,True,False,user_stop,79.2504,28,7,0,0,0,0,,183358,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on[PERSONA:Hard],0,True,True,user_stop,75.4156,32,5,0,0,0,0,,201897,none,False,False,0
telecom,[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,True,False,user_stop,64.7685,29,8,0,0,0,0,,184760,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,True,False,user_stop,89.8799,35,8,0,0,0,0,,226217,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on[PERSONA:None],0,True,True,user_stop,84.1989,32,5,0,0,0,0,,201030,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],0,True,False,user_stop,82.6093,31,6,0,0,0,0,,196407,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,True,False,user_stop,66.9699,25,7,0,0,0,0,,151711,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:Easy],0,True,False,user_stop,84.2831,29,6,0,0,0,0,,179516,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,True,False,user_stop,77.1252,28,7,0,0,0,0,,170408,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,True,False,user_stop,104.7738,35,8,0,0,0,0,,235728,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,True,False,user_stop,110.4926,40,8,0,0,0,0,,275416,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0,True,False,user_stop,106.9947,36,6,0,0,0,0,,236351,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0,True,False,user_stop,97.0876,38,6,0,0,0,0,,243862,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,True,False,user_stop,95.2103,33,7,0,0,0,0,,214082,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|user_abroad_roaming_disabled_off[PERSONA:Hard],0,True,False,user_stop,106.745,36,6,0,0,0,0,,235939,none,False,False,0
telecom,[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0,True,False,user_stop,123.4384,41,6,0,0,0,0,,268446,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0,True,False,user_stop,139.2281,43,7,0,0,0,0,,296352,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,True,False,user_stop,128.1486,40,7,0,0,0,0,,270858,none,False,False,0
telecom,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0,True,False,user_stop,139.0554,46,8,0,0,0,0,,331669,none,False,False,0
telecom,[service_issue]airplane_mode_on|unseat_sim_card[PERSONA:None],0,True,True,user_stop,55.1704,24,4,0,0,0,0,,134093,none,False,False,0
telecom,[service_issue]airplane_mode_on|lock_sim_card_pin[PERSONA:Easy],0,True,False,user_stop,51.9656,17,6,0,0,0,0,,97369,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings[PERSONA:Hard],0,True,True,user_stop,78.7147,28,5,0,0,0,0,,173429,none,False,False,0
telecom,[service_issue]airplane_mode_on|overdue_bill_suspension[PERSONA:None],0,True,False,user_stop,58.8812,26,8,0,0,0,0,,158985,none,False,False,0
telecom,[service_issue]overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0,True,False,user_stop,63.2597,28,7,0,0,0,0,,172070,none,False,False,0
telecom,[service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard],0,False,False,user_stop,67.9032,32,9,0,1,0,0,,206028,db_mismatch,,,
telecom,[service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None],0,True,True,user_stop,42.4653,17,5,0,0,0,0,,97131,none,False,False,0
telecom,[service_issue]lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],0,True,False,user_stop,100.2896,36,9,0,0,0,0,,248327,none,False,False,0
telecom,[service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],0,True,True,user_stop,19.1162,10,6,0,0,0,0,,59368,none,False,False,0
telecom,[service_issue]airplane_mode_on|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],0,True,False,user_stop,58.2611,27,8,0,0,0,0,,172658,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None],0,True,True,user_stop,68.2352,37,5,0,0,0,0,,227456,none,False,False,0
telecom,[service_issue]airplane_mode_on|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0,True,False,user_stop,67.63,33,8,0,0,0,0,,208179,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],0,True,False,user_stop,37.8483,16,5,0,0,0,0,,88457,none,False,False,0
telecom,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],0,True,False,user_stop,69.4381,29,10,0,1,0,0,,190908,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension[PERSONA:None],0,True,False,user_stop,134.4441,64,10,0,2,0,0,,466039,none,False,False,0
telecom,[service_issue]break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:Hard],0,True,False,user_stop,98.0007,46,8,0,0,0,0,,310363,none,False,False,0
telecom,[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],0,True,False,user_stop,73.3369,27,9,0,0,0,0,,179725,none,False,False,0
telecom,[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],0,True,True,user_stop,28.7665,13,7,0,0,0,0,,82152,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|unseat_sim_card[PERSONA:None],0,True,False,user_stop,74.4791,26,5,0,0,0,0,,157826,none,False,False,0
telecom,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0,True,False,user_stop,68.1636,34,9,0,0,0,0,,216569,none,False,False,0
telecom,[service_issue]airplane_mode_on|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],0,True,False,user_stop,84.9523,37,9,0,0,0,0,,242585,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0,True,False,user_stop,106.6814,52,8,0,0,0,0,,348272,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],0,True,False,user_stop,77.7273,25,12,0,2,0,0,,175525,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],0,True,False,user_stop,69.1259,30,9,0,0,0,0,,190448,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin[PERSONA:None],0,True,False,user_stop,48.6338,18,8,0,0,0,0,,113969,none,False,False,0
telecom,[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0,True,False,user_stop,81.4837,32,10,1,0,0,1,True,212556,none,False,False,0
telecom,[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],0,True,True,user_stop,23.1381,10,6,0,0,0,0,,59429,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0,True,False,user_stop,112.304,42,9,0,1,0,0,,278331,none,False,False,0
telecom,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Easy],0,True,False,user_stop,55.4769,18,8,0,0,0,0,,114262,none,False,False,0
