task_id,experiment_id,difficulty,passed,num_turns,num_tool_calls,invalid_calls,duplicate_calls,duplicate_writes,total_tokens,max_turn
task_0031,safedesk_appworld_test_challenge,3,1,15,21,0,0,0,69009,0
task_0032,safedesk_appworld_test_challenge,2,1,10,18,0,1,0,156526,0
task_0033,safedesk_appworld_test_challenge,2,1,27,20,0,0,0,199213,0
task_0034,safedesk_appworld_test_challenge,1,1,4,32,0,0,0,64228,0
task_0035,safedesk_appworld_test_challenge,2,1,4,24,0,0,0,178888,0
task_0036,safedesk_appworld_test_challenge,3,1,22,33,0,0,0,28710,0
task_0037,safedesk_appworld_test_challenge,3,1,21,29,0,0,0,113803,0
task_0038,safedesk_appworld_test_challenge,3,1,4,11,0,0,0,123944,0
task_0039,safedesk_appworld_test_challenge,1,1,8,11,0,0,0,20488,0
task_0040,safedesk_appworld_test_challenge,3,1,19,32,0,0,0,189035,0
task_0041,safedesk_appworld_test_challenge,3,1,27,19,0,0,0,173543,0
task_0042,safedesk_appworld_test_challenge,2,1,8,12,0,0,0,66377,0
task_0043,safedesk_appworld_test_challenge,2,1,28,30,0,0,0,94672,0
task_0044,safedesk_appworld_test_challenge,3,1,13,13,0,0,0,160347,0
task_0045,safedesk_appworld_test_challenge,2,1,6,17,0,0,0,29704,0
task_0046,safedesk_appworld_test_challenge,3,1,24,5,0,0,0,194623,0
task_0047,safedesk_appworld_test_challenge,1,1,14,19,0,0,0,164934,0
task_0048,safedesk_appworld_test_challenge,2,1,22,11,0,0,0,40220,0
task_0049,safedesk_appworld_test_challenge,2,1,17,17,0,1,0,98635,0
task_0050,safedesk_appworld_test_challenge,3,1,28,24,0,0,0,24104,0
task_0051,safedesk_appworld_test_challenge,2,1,26,26,0,0,0,80457,0
task_0052,safedesk_appworld_test_challenge,3,1,4,21,0,0,0,182365,0
task_0053,safedesk_appworld_test_challenge,1,1,4,9,0,0,0,65154,0
task_0054,safedesk_appworld_test_challenge,2,1,8,11,0,0,0,166975,0
task_0055,safedesk_appworld_test_challenge,3,1,8,28,0,0,0,148675,0
task_0056,safedesk_appworld_test_challenge,2,1,14,16,0,0,0,50584,0
task_0057,safedesk_appworld_test_challenge,3,1,6,15,0,0,0,94852,0
task_0058,safedesk_appworld_test_challenge,1,1,26,23,0,1,0,20732,0
task_0059,safedesk_appworld_test_challenge,3,1,6,10,0,0,0,107210,0
task_0060,safedesk_appworld_test_challenge,3,1,9,12,0,0,0,39801,0
task_0061,safedesk_appworld_test_challenge,3,1,5,9,0,0,0,36416,0
task_0062,safedesk_appworld_test_challenge,2,1,5,31,0,0,0,89102,0
task_0063,safedesk_appworld_test_challenge,3,1,3,6,0,0,0,47808,0
task_0064,safedesk_appworld_test_challenge,1,1,20,5,0,0,0,125200,0
task_0065,safedesk_appworld_test_challenge,1,1,27,5,0,0,0,94096,0
task_0066,safedesk_appworld_test_challenge,1,1,27,7,0,0,0,40811,0
task_0067,safedesk_appworld_test_challenge,3,1,28,12,0,0,0,174639,0
task_0068,safedesk_appworld_test_challenge,1,1,28,33,0,0,0,62169,0
task_0069,safedesk_appworld_test_challenge,3,1,24,12,0,0,0,70623,0
task_0070,safedesk_appworld_test_challenge,2,1,3,19,0,0,0,101454,0
task_0071,safedesk_appworld_test_challenge,3,1,15,24,0,0,0,179923,0
task_0072,safedesk_appworld_test_challenge,1,1,5,28,0,0,0,134467,0
task_0073,safedesk_appworld_test_challenge,2,1,7,23,0,0,0,127717,0
task_0074,safedesk_appworld_test_challenge,3,1,20,34,0,0,0,80221,0
task_0075,safedesk_appworld_test_challenge,2,1,13,22,0,0,0,50339,0
task_0076,safedesk_appworld_test_challenge,3,1,25,23,0,0,0,102128,0
task_0077,safedesk_appworld_test_challenge,2,1,7,10,0,0,0,110529,0
task_0078,safedesk_appworld_test_challenge,2,1,27,12,0,0,0,196247,0
task_0079,safedesk_appworld_test_challenge,3,1,3,19,0,0,0,70314,0
task_0080,safedesk_appworld_test_challenge,3,1,7,24,0,1,0,104312,0
task_0081,safedesk_appworld_test_challenge,3,1,8,19,0,0,0,159447,0
task_0082,safedesk_appworld_test_challenge,3,1,25,34,0,1,0,63375,0
task_0083,safedesk_appworld_test_challenge,2,1,10,15,0,0,0,178088,0
task_0084,safedesk_appworld_test_challenge,3,1,17,8,0,1,0,68305,0
task_0085,safedesk_appworld_test_challenge,1,1,19,17,0,0,0,83936,0
task_0086,safedesk_appworld_test_challenge,1,1,18,9,0,0,0,57414,0
task_0087,safedesk_appworld_test_challenge,2,1,17,28,0,0,0,169353,0
task_0088,safedesk_appworld_test_challenge,3,1,17,9,0,0,0,166734,0
task_0089,safedesk_appworld_test_challenge,3,1,20,13,0,0,0,96983,0
task_0090,safedesk_appworld_test_challenge,2,1,17,33,0,0,0,159533,0
task_0091,safedesk_appworld_test_challenge,3,1,10,11,0,0,0,146732,0
task_0092,safedesk_appworld_test_challenge,1,1,13,33,0,0,0,81564,0
task_0093,safedesk_appworld_test_challenge,1,1,14,23,0,1,0,101639,0
task_0094,safedesk_appworld_test_challenge,3,1,22,11,0,0,0,51552,0
task_0095,safedesk_appworld_test_challenge,3,1,19,25,1,0,0,128758,0
task_0096,safedesk_appworld_test_challenge,2,1,3,27,0,0,0,56930,0
task_0097,safedesk_appworld_test_challenge,3,1,22,16,0,0,0,167771,0
task_0098,safedesk_appworld_test_challenge,3,1,17,26,0,0,0,145276,0
task_0099,safedesk_appworld_test_challenge,2,1,23,11,0,0,0,164742,0
task_0100,safedesk_appworld_test_challenge,3,1,13,16,0,0,0,178520,0
task_0101,safedesk_appworld_test_challenge,1,1,28,33,0,0,0,30993,0
task_0102,safedesk_appworld_test_challenge,2,1,23,34,0,0,0,38212,0
task_0103,safedesk_appworld_test_challenge,2,1,21,21,0,0,0,50892,0
task_0104,safedesk_appworld_test_challenge,2,1,14,32,0,0,0,24328,0
task_0105,safedesk_appworld_test_challenge,3,1,6,23,0,0,0,166915,0
task_0106,safedesk_appworld_test_challenge,2,1,9,33,0,0,0,66301,0
task_0107,safedesk_appworld_test_challenge,3,1,19,32,0,0,0,93191,0
task_0108,safedesk_appworld_test_challenge,3,1,7,33,0,0,0,143060,0
task_0109,safedesk_appworld_test_challenge,2,1,10,29,0,0,0,67189,0
task_0110,safedesk_appworld_test_challenge,2,1,5,35,0,0,0,103643,0
task_0111,safedesk_appworld_test_challenge,2,1,23,7,0,0,0,24661,0
task_0112,safedesk_appworld_test_challenge,2,1,16,33,0,0,0,29534,0
task_0113,safedesk_appworld_test_challenge,1,1,8,19,0,0,0,90017,0
task_0114,safedesk_appworld_test_challenge,3,1,5,27,0,0,0,95889,0
task_0115,safedesk_appworld_test_challenge,3,1,16,12,0,0,0,91613,0
task_0116,safedesk_appworld_test_challenge,2,1,22,16,0,0,0,76955,0
task_0117,safedesk_appworld_test_challenge,2,1,3,20,0,0,0,25191,0
task_0118,safedesk_appworld_test_challenge,1,1,21,7,0,0,0,63406,0
task_0119,safedesk_appworld_test_challenge,3,1,19,32,0,1,0,125827,0
task_0120,safedesk_appworld_test_challenge,3,1,23,8,0,0,0,187155,0
task_0121,safedesk_appworld_test_challenge,3,1,13,16,0,0,0,103234,0
task_0122,safedesk_appworld_test_challenge,2,1,16,26,0,0,0,52573,0
task_0123,safedesk_appworld_test_challenge,2,1,18,5,0,1,0,137568,0
task_0124,safedesk_appworld_test_challenge,3,1,13,28,0,0,0,111827,0
task_0125,safedesk_appworld_test_challenge,1,1,10,16,0,0,0,81937,0
task_0126,safedesk_appworld_test_challenge,3,1,12,10,0,0,0,146888,0
task_0127,safedesk_appworld_test_challenge,3,1,7,24,0,0,0,141128,0
task_0128,safedesk_appworld_test_challenge,3,1,17,7,0,0,0,158461,0
task_0129,safedesk_appworld_test_challenge,3,1,15,7,0,0,0,47769,0
task_0130,safedesk_appworld_test_challenge,1,1,21,9,0,0,0,73492,0
task_0131,safedesk_appworld_test_challenge,3,1,4,23,0,0,0,73276,0
task_0132,safedesk_appworld_test_challenge,3,1,15,28,0,0,0,78231,0
task_0133,safedesk_appworld_test_challenge,3,1,19,32,0,0,0,38549,0
task_0134,safedesk_appworld_test_challenge,3,1,19,21,0,0,0,99333,0
task_0135,safedesk_appworld_test_challenge,3,1,21,7,0,0,0,32196,0
task_0136,safedesk_appworld_test_challenge,2,1,17,5,0,0,0,136504,0
task_0137,safedesk_appworld_test_challenge,2,1,8,20,0,0,0,143982,0
task_0138,safedesk_appworld_test_challenge,3,1,26,17,0,0,0,86042,0
task_0139,safedesk_appworld_test_challenge,1,1,3,27,0,0,0,192864,0
task_0140,safedesk_appworld_test_challenge,2,1,18,28,0,0,0,65631,0
task_0141,safedesk_appworld_test_challenge,3,1,7,17,0,0,0,63805,0
task_0142,safedesk_appworld_test_challenge,1,1,13,8,0,0,0,126052,0
task_0143,safedesk_appworld_test_challenge,2,1,9,22,0,0,0,36192,0
task_0144,safedesk_appworld_test_challenge,2,1,11,12,0,1,0,128604,0
task_0145,safedesk_appworld_test_challenge,2,1,16,8,0,0,0,194046,0
task_0146,safedesk_appworld_test_challenge,1,1,10,8,0,0,0,33458,0
task_0147,safedesk_appworld_test_challenge,1,1,3,29,0,1,0,46751,0
task_0148,safedesk_appworld_test_challenge,2,1,17,23,0,0,0,111458,0
task_0149,safedesk_appworld_test_challenge,3,1,4,30,0,0,0,69692,0
task_0150,safedesk_appworld_test_challenge,2,1,18,32,0,0,0,156805,0
task_0151,safedesk_appworld_test_challenge,2,1,20,24,0,0,0,62269,0
task_0152,safedesk_appworld_test_challenge,3,1,3,20,0,0,0,144341,0
task_0153,safedesk_appworld_test_challenge,1,1,15,19,0,0,0,102143,0
task_0154,safedesk_appworld_test_challenge,3,1,15,17,0,0,0,170418,0
task_0155,safedesk_appworld_test_challenge,3,1,6,25,0,0,0,79555,0
task_0156,safedesk_appworld_test_challenge,2,1,20,34,0,0,0,93047,0
task_0157,safedesk_appworld_test_challenge,2,1,7,19,0,0,0,94955,0
task_0158,safedesk_appworld_test_challenge,3,1,17,26,0,0,0,168472,0
task_0159,safedesk_appworld_test_challenge,3,1,3,14,0,0,0,145353,0
task_0160,safedesk_appworld_test_challenge,3,1,15,11,0,0,0,156723,0
task_0161,safedesk_appworld_test_challenge,1,1,10,8,0,0,0,95939,0
task_0162,safedesk_appworld_test_challenge,2,1,4,20,0,0,0,174024,0
task_0163,safedesk_appworld_test_challenge,3,1,17,11,0,0,0,138141,0
task_0164,safedesk_appworld_test_challenge,2,1,11,19,0,0,0,28966,0
task_0165,safedesk_appworld_test_challenge,3,1,23,11,0,0,0,160127,0
task_0166,safedesk_appworld_test_challenge,3,1,19,9,0,0,0,85769,0
task_0167,safedesk_appworld_test_challenge,2,1,27,17,0,0,0,165076,0
task_0168,safedesk_appworld_test_challenge,3,1,27,35,0,0,0,186918,0
task_0169,safedesk_appworld_test_challenge,1,1,23,10,0,0,0,43074,0
task_0170,safedesk_appworld_test_challenge,1,1,21,18,0,0,0,55569,0
task_0171,safedesk_appworld_test_challenge,3,1,9,30,0,0,0,191302,0
task_0172,safedesk_appworld_test_challenge,3,1,17,9,0,0,0,68675,0
task_0173,safedesk_appworld_test_challenge,2,1,27,27,0,0,0,125821,0
task_0174,safedesk_appworld_test_challenge,3,1,17,27,0,0,0,174870,0
task_0175,safedesk_appworld_test_challenge,1,1,26,30,0,0,0,71402,0
task_0176,safedesk_appworld_test_challenge,2,1,9,25,0,0,0,162661,0
task_0177,safedesk_appworld_test_challenge,3,1,20,10,0,0,0,162375,0
task_0178,safedesk_appworld_test_challenge,2,1,14,29,0,0,0,152714,0
task_0179,safedesk_appworld_test_challenge,3,1,14,5,0,0,0,117028,0
task_0180,safedesk_appworld_test_challenge,1,1,14,26,0,0,0,173496,0
task_0181,safedesk_appworld_test_challenge,2,1,27,17,0,0,0,67254,0
task_0182,safedesk_appworld_test_challenge,2,1,9,24,0,1,0,182296,0
task_0183,safedesk_appworld_test_challenge,3,1,18,9,0,0,0,62435,0
task_0184,safedesk_appworld_test_challenge,3,1,21,34,0,0,0,132684,0
task_0185,safedesk_appworld_test_challenge,2,1,27,35,0,0,0,189976,0
task_0186,safedesk_appworld_test_challenge,2,1,22,32,0,0,0,89744,0
task_0187,safedesk_appworld_test_challenge,3,1,11,22,0,0,0,111158,0
task_0188,safedesk_appworld_test_challenge,1,1,7,10,0,0,0,156299,0
task_0189,safedesk_appworld_test_challenge,2,1,3,12,0,0,0,29667,0
task_0190,safedesk_appworld_test_challenge,2,1,5,11,0,0,0,44854,0
task_0191,safedesk_appworld_test_challenge,3,1,13,14,0,0,0,92148,0
task_0192,safedesk_appworld_test_challenge,2,1,13,35,0,0,0,23059,0
task_0193,safedesk_appworld_test_challenge,2,1,10,31,0,0,0,77000,0
task_0194,safedesk_appworld_test_challenge,2,1,4,7,0,0,0,124131,0
task_0195,safedesk_appworld_test_challenge,2,1,14,14,0,0,0,127158,0
task_0196,safedesk_appworld_test_challenge,3,1,23,12,0,0,0,77661,0
task_0197,safedesk_appworld_test_challenge,2,1,9,8,0,0,0,113948,0
task_0198,safedesk_appworld_test_challenge,2,1,26,5,0,0,0,54361,0
task_0199,safedesk_appworld_test_challenge,1,1,9,28,0,0,0,163393,0
task_0200,safedesk_appworld_test_challenge,2,1,7,5,0,0,0,191182,0
task_0201,safedesk_appworld_test_challenge,1,1,19,9,0,0,0,44475,0
task_0202,safedesk_appworld_test_challenge,2,1,22,8,0,0,0,95495,0
task_0203,safedesk_appworld_test_challenge,1,1,28,22,0,0,0,199956,0
task_0204,safedesk_appworld_test_challenge,2,1,22,33,0,0,0,91875,0
task_0205,safedesk_appworld_test_challenge,3,1,22,5,0,0,0,191226,0
task_0206,safedesk_appworld_test_challenge,3,1,15,13,0,0,0,67953,0
task_0207,safedesk_appworld_test_challenge,3,1,24,6,0,0,0,92530,0
task_0208,safedesk_appworld_test_challenge,2,1,7,9,0,0,0,138263,0
task_0209,safedesk_appworld_test_challenge,2,1,19,21,0,0,0,189904,0
task_0210,safedesk_appworld_test_challenge,2,1,27,23,1,0,0,114325,0
task_0211,safedesk_appworld_test_challenge,3,1,24,22,0,0,0,63891,0
task_0212,safedesk_appworld_test_challenge,3,1,15,6,0,0,0,32290,0
task_0213,safedesk_appworld_test_challenge,2,1,4,35,0,0,0,180556,0
task_0214,safedesk_appworld_test_challenge,3,1,5,8,0,0,0,59014,0
task_0215,safedesk_appworld_test_challenge,3,1,6,11,0,0,0,190459,0
task_0216,safedesk_appworld_test_challenge,2,1,10,24,0,0,0,29281,0
task_0217,safedesk_appworld_test_challenge,2,1,7,31,0,0,0,124660,0
task_0218,safedesk_appworld_test_challenge,3,1,6,9,0,0,0,124516,0
task_0219,safedesk_appworld_test_challenge,1,1,25,14,0,0,0,157977,0
task_0220,safedesk_appworld_test_challenge,2,1,25,7,0,1,0,54914,0
task_0221,safedesk_appworld_test_challenge,2,1,23,19,0,0,0,151554,0
task_0222,safedesk_appworld_test_challenge,1,1,23,11,0,0,0,158555,0
task_0223,safedesk_appworld_test_challenge,2,1,5,30,0,0,0,25962,0
task_0224,safedesk_appworld_test_challenge,3,1,23,24,0,0,0,68662,0
task_0225,safedesk_appworld_test_challenge,2,1,15,35,0,0,0,156961,0
task_0226,safedesk_appworld_test_challenge,2,1,11,29,0,0,0,56933,0
task_0227,safedesk_appworld_test_challenge,3,1,14,10,0,0,0,143457,0
task_0228,safedesk_appworld_test_challenge,3,1,13,8,0,0,0,196251,0
task_0229,safedesk_appworld_test_challenge,3,1,26,25,0,0,0,94223,0
task_0230,safedesk_appworld_test_challenge,3,1,18,25,0,0,0,117887,0
task_0231,safedesk_appworld_test_challenge,3,1,12,30,0,0,0,133107,0
task_0232,safedesk_appworld_test_challenge,3,1,14,23,0,0,0,195121,0
task_0233,safedesk_appworld_test_challenge,3,1,5,20,0,0,0,145599,0
task_0234,safedesk_appworld_test_challenge,2,1,22,22,0,0,0,121137,0
task_0235,safedesk_appworld_test_challenge,3,1,5,29,0,0,0,55894,0
task_0236,safedesk_appworld_test_challenge,3,1,9,9,0,0,0,105422,0
task_0237,safedesk_appworld_test_challenge,3,1,7,9,0,0,0,79239,0
task_0238,safedesk_appworld_test_challenge,2,1,12,33,0,0,0,131925,0
task_0239,safedesk_appworld_test_challenge,2,1,5,15,0,0,0,165591,0
task_0240,safedesk_appworld_test_challenge,2,1,14,25,1,0,0,31562,0
task_0241,safedesk_appworld_test_challenge,2,1,10,9,0,0,0,42662,0
task_0242,safedesk_appworld_test_challenge,1,1,3,19,0,0,0,151421,0
task_0243,safedesk_appworld_test_challenge,3,1,20,8,0,0,0,73180,0
task_0244,safedesk_appworld_test_challenge,2,1,27,5,0,0,0,34558,0
task_0245,safedesk_appworld_test_challenge,3,1,15,18,0,0,0,72044,0
task_0246,safedesk_appworld_test_challenge,1,1,5,27,0,0,0,71567,0
task_0247,safedesk_appworld_test_challenge,1,1,7,34,0,0,0,42433,0
task_0248,safedesk_appworld_test_challenge,2,1,24,6,0,0,0,44158,0
task_0249,safedesk_appworld_test_challenge,2,1,5,22,0,0,0,157758,0
task_0250,safedesk_appworld_test_challenge,1,1,12,26,0,0,0,190246,0
task_0251,safedesk_appworld_test_challenge,3,1,3,25,0,0,0,84988,0
task_0252,safedesk_appworld_test_challenge,3,1,12,12,0,0,0,149999,0
task_0253,safedesk_appworld_test_challenge,2,1,13,29,0,0,0,94566,0
task_0254,safedesk_appworld_test_challenge,3,1,13,25,0,0,0,52907,0
task_0255,safedesk_appworld_test_challenge,2,1,24,7,0,0,0,69706,0
task_0256,safedesk_appworld_test_challenge,3,1,17,9,0,0,0,173767,0
task_0257,safedesk_appworld_test_challenge,2,0,32,30,0,0,0,1140784,0
task_0258,safedesk_appworld_test_challenge,3,0,18,37,0,0,0,958986,0
task_0259,safedesk_appworld_test_challenge,3,0,38,29,0,0,0,397605,0
task_0260,safedesk_appworld_test_challenge,3,0,42,13,1,0,0,1819427,0
task_0261,safedesk_appworld_test_challenge,3,0,32,28,1,0,0,1136722,0
task_0262,safedesk_appworld_test_challenge,2,0,18,14,1,0,0,2255911,0
task_0263,safedesk_appworld_test_challenge,2,0,50,50,1,1,0,2225076,1
task_0264,safedesk_appworld_test_challenge,2,0,48,33,1,1,0,1656608,0
task_0265,safedesk_appworld_test_challenge,3,0,45,45,2,3,0,1367011,0
task_0266,safedesk_appworld_test_challenge,2,0,38,18,0,3,0,139865,0
task_0267,safedesk_appworld_test_challenge,1,0,45,39,0,0,0,1357213,0
task_0268,safedesk_appworld_test_challenge,1,0,32,57,0,2,0,803909,0
task_0269,safedesk_appworld_test_challenge,2,0,23,40,0,1,0,2166586,0
task_0270,safedesk_appworld_test_challenge,3,0,49,48,0,1,0,1454727,0
task_0271,safedesk_appworld_test_challenge,2,0,42,58,0,0,0,1473994,0
task_0272,safedesk_appworld_test_challenge,1,0,25,56,1,1,0,2365266,0
task_0273,safedesk_appworld_test_challenge,3,0,21,39,0,0,0,2274833,0
task_0274,safedesk_appworld_test_challenge,3,0,38,48,0,0,0,2192837,0
task_0275,safedesk_appworld_test_challenge,3,0,47,56,0,3,0,716018,0
task_0276,safedesk_appworld_test_challenge,3,0,17,44,0,0,0,2251825,0
task_0277,safedesk_appworld_test_challenge,2,0,46,41,1,0,0,1842603,0
task_0278,safedesk_appworld_test_challenge,3,0,27,30,1,2,0,1367958,0
task_0279,safedesk_appworld_test_challenge,1,0,19,36,0,1,0,440875,0
task_0280,safedesk_appworld_test_challenge,3,0,25,46,0,0,0,2137822,0
task_0281,safedesk_appworld_test_challenge,3,0,13,50,0,0,0,738772,0
task_0282,safedesk_appworld_test_challenge,2,0,46,51,0,0,0,499649,0
task_0283,safedesk_appworld_test_challenge,2,0,40,39,0,1,0,2377104,0
task_0284,safedesk_appworld_test_challenge,2,0,16,60,1,0,0,2497335,0
task_0285,safedesk_appworld_test_challenge,2,0,45,58,1,2,0,143891,0
task_0286,safedesk_appworld_test_challenge,2,0,19,21,1,0,0,1314739,0
task_0287,safedesk_appworld_test_challenge,1,0,12,25,1,0,0,167310,0
task_0288,safedesk_appworld_test_challenge,2,0,46,58,0,0,0,2494863,0
task_0289,safedesk_appworld_test_challenge,3,0,25,47,0,1,0,2012828,0
task_0290,safedesk_appworld_test_challenge,3,0,47,13,1,1,0,542812,0
task_0291,safedesk_appworld_test_challenge,3,0,25,27,1,1,0,1578420,0
task_0292,safedesk_appworld_test_challenge,2,0,10,19,1,1,0,257301,0
task_0293,safedesk_appworld_test_challenge,3,0,28,31,4,0,0,2099692,0
task_0294,safedesk_appworld_test_challenge,2,0,13,17,0,1,0,2419971,0
task_0295,safedesk_appworld_test_challenge,3,0,33,24,0,1,0,929931,0
task_0296,safedesk_appworld_test_challenge,2,0,50,25,0,1,0,1982319,1
task_0297,safedesk_appworld_test_challenge,3,0,44,25,0,0,0,1248895,0
task_0298,safedesk_appworld_test_challenge,3,0,41,32,1,0,0,2298189,0
task_0299,safedesk_appworld_test_challenge,3,0,28,29,1,1,0,1888090,0
task_0300,safedesk_appworld_test_challenge,3,0,38,53,0,0,0,1691347,0
task_0301,safedesk_appworld_test_challenge,3,0,47,19,1,0,0,2200802,0
task_0302,safedesk_appworld_test_challenge,2,0,21,35,1,2,0,811560,0
task_0303,safedesk_appworld_test_challenge,3,0,13,32,1,2,0,695705,0
task_0304,safedesk_appworld_test_challenge,3,0,21,58,0,0,0,2057557,0
task_0305,safedesk_appworld_test_challenge,2,0,15,27,0,1,0,946439,0
task_0306,safedesk_appworld_test_challenge,2,0,17,35,2,1,0,1158812,0
task_0307,safedesk_appworld_test_challenge,3,0,50,54,0,0,0,714169,1
task_0308,safedesk_appworld_test_challenge,2,0,49,11,2,0,0,504536,0
task_0309,safedesk_appworld_test_challenge,1,0,38,41,1,1,0,1932473,0
task_0310,safedesk_appworld_test_challenge,2,0,25,18,1,0,0,510901,0
task_0311,safedesk_appworld_test_challenge,2,0,44,23,0,2,0,815728,0
task_0312,safedesk_appworld_test_challenge,3,0,33,51,0,1,0,1890034,0
task_0313,safedesk_appworld_test_challenge,1,0,18,41,0,0,1,1780894,0
task_0314,safedesk_appworld_test_challenge,2,0,42,36,0,1,0,1635309,0
task_0315,safedesk_appworld_test_challenge,1,0,17,51,0,0,0,2310780,0
task_0316,safedesk_appworld_test_challenge,3,0,31,14,1,0,0,748675,0
task_0317,safedesk_appworld_test_challenge,2,0,26,40,0,0,0,2131309,0
task_0318,safedesk_appworld_test_challenge,2,0,50,57,0,1,0,842603,1
task_0319,safedesk_appworld_test_challenge,2,0,22,14,2,1,0,1457719,0
task_0320,safedesk_appworld_test_challenge,2,0,28,31,0,1,0,266101,0
task_0321,safedesk_appworld_test_challenge,3,0,44,13,0,1,0,1640126,0
task_0322,safedesk_appworld_test_challenge,3,0,36,40,0,0,0,1690644,0
task_0323,safedesk_appworld_test_challenge,2,0,46,36,0,1,0,1964429,0
task_0324,safedesk_appworld_test_challenge,3,0,34,52,1,1,0,1589784,0
task_0325,safedesk_appworld_test_challenge,3,0,40,31,1,1,0,358857,0
task_0326,safedesk_appworld_test_challenge,3,0,40,54,0,0,0,1106220,0
task_0327,safedesk_appworld_test_challenge,3,0,15,31,1,0,0,1286445,0
task_0328,safedesk_appworld_test_challenge,3,0,42,50,0,1,0,356851,0
task_0329,safedesk_appworld_test_challenge,3,0,29,55,1,2,0,750548,0
task_0330,safedesk_appworld_test_challenge,2,0,19,44,0,0,0,2465663,0
task_0331,safedesk_appworld_test_challenge,3,0,29,39,2,2,0,1979388,0
task_0332,safedesk_appworld_test_challenge,3,0,35,51,0,2,0,1979271,0
task_0333,safedesk_appworld_test_challenge,3,0,28,36,0,2,0,701600,0
task_0334,safedesk_appworld_test_challenge,3,0,24,19,2,3,0,1453119,0
task_0335,safedesk_appworld_test_challenge,3,0,30,25,1,1,0,238939,0
task_0336,safedesk_appworld_test_challenge,1,0,15,59,2,1,0,1987099,0
task_0337,safedesk_appworld_test_challenge,2,0,50,14,0,1,0,681097,1
task_0338,safedesk_appworld_test_challenge,1,0,32,39,1,1,0,2245633,0
task_0339,safedesk_appworld_test_challenge,3,0,21,23,0,0,0,836353,0
task_0340,safedesk_appworld_test_challenge,2,0,37,12,0,2,0,1349292,0
task_0341,safedesk_appworld_test_challenge,1,0,27,10,0,1,0,2467172,0
task_0342,safedesk_appworld_test_challenge,1,0,44,58,0,2,0,1558416,0
task_0343,safedesk_appworld_test_challenge,2,0,29,18,0,0,0,2368748,0
task_0344,safedesk_appworld_test_challenge,1,0,15,37,1,0,0,1636988,0
task_0345,safedesk_appworld_test_challenge,3,0,10,58,0,0,0,1202802,0
task_0346,safedesk_appworld_test_challenge,3,0,21,31,0,0,0,667297,0
task_0347,safedesk_appworld_test_challenge,3,0,17,14,1,0,0,2486653,0
task_0348,safedesk_appworld_test_challenge,1,0,26,12,0,0,0,605780,0
task_0349,safedesk_appworld_test_challenge,3,0,30,52,0,2,1,1670782,0
task_0350,safedesk_appworld_test_challenge,2,0,15,19,2,0,0,833566,0
task_0351,safedesk_appworld_test_challenge,1,0,17,57,1,0,0,1532803,0
task_0352,safedesk_appworld_test_challenge,1,0,16,12,0,0,0,1657592,0
task_0353,safedesk_appworld_test_challenge,2,0,35,52,2,0,0,1419061,0
task_0354,safedesk_appworld_test_challenge,1,0,42,52,0,0,0,269759,0
