task_id,experiment_id,domain,passed,num_turns,num_tool_calls,total_tokens,db_match
tau2_retail_0004,safedesk_tau2_full,retail,1,5,6,90618,1
tau2_retail_0005,safedesk_tau2_full,retail,1,13,13,116350,1
tau2_retail_0006,safedesk_tau2_full,retail,1,12,14,33858,1
tau2_retail_0007,safedesk_tau2_full,retail,1,11,6,63543,1
tau2_retail_0008,safedesk_tau2_full,retail,1,13,8,118043,1
tau2_retail_0009,safedesk_tau2_full,retail,1,13,2,20065,1
tau2_retail_0010,safedesk_tau2_full,retail,1,17,3,102811,1
tau2_retail_0011,safedesk_tau2_full,retail,1,6,3,10022,1
tau2_retail_0012,safedesk_tau2_full,retail,1,16,2,87244,1
tau2_retail_0013,safedesk_tau2_full,retail,1,10,8,46048,1
tau2_retail_0014,safedesk_tau2_full,retail,1,5,3,104777,1
tau2_retail_0015,safedesk_tau2_full,retail,1,16,14,88715,1
tau2_retail_0016,safedesk_tau2_full,retail,1,5,10,49255,1
tau2_retail_0017,safedesk_tau2_full,retail,1,3,8,22616,1
tau2_retail_0018,safedesk_tau2_full,retail,1,7,5,23927,1
tau2_retail_0019,safedesk_tau2_full,retail,1,15,13,56852,1
tau2_retail_0020,safedesk_tau2_full,retail,1,9,6,38269,1
tau2_retail_0021,safedesk_tau2_full,retail,1,9,13,46780,1
tau2_retail_0022,safedesk_tau2_full,retail,1,15,10,34504,1
tau2_retail_0023,safedesk_tau2_full,retail,1,4,12,104121,1
tau2_retail_0024,safedesk_tau2_full,retail,1,10,8,78263,1
tau2_retail_0025,safedesk_tau2_full,retail,1,4,5,54628,1
tau2_retail_0026,safedesk_tau2_full,retail,1,18,12,15017,1
tau2_retail_0027,safedesk_tau2_full,retail,1,9,3,91694,1
tau2_retail_0028,safedesk_tau2_full,retail,1,15,14,72949,1
tau2_retail_0029,safedesk_tau2_full,retail,1,4,4,118818,1
tau2_retail_0030,safedesk_tau2_full,retail,1,5,8,14650,1
tau2_retail_0031,safedesk_tau2_full,retail,1,4,11,89444,1
tau2_retail_0032,safedesk_tau2_full,retail,1,18,3,119154,1
tau2_retail_0033,safedesk_tau2_full,retail,1,11,11,96392,1
tau2_retail_0034,safedesk_tau2_full,retail,1,18,13,89703,1
tau2_retail_0035,safedesk_tau2_full,retail,1,4,2,89651,1
tau2_retail_0036,safedesk_tau2_full,retail,1,4,14,118786,1
tau2_retail_0037,safedesk_tau2_full,retail,1,14,14,37931,1
tau2_retail_0038,safedesk_tau2_full,retail,1,10,12,16980,1
tau2_retail_0039,safedesk_tau2_full,retail,1,9,8,61811,1
tau2_retail_0040,safedesk_tau2_full,retail,1,18,8,77059,1
tau2_retail_0041,safedesk_tau2_full,retail,1,12,4,35392,1
tau2_retail_0042,safedesk_tau2_full,retail,1,3,7,45237,1
tau2_retail_0043,safedesk_tau2_full,retail,1,16,7,113327,1
tau2_retail_0044,safedesk_tau2_full,retail,1,8,2,85111,1
tau2_retail_0045,safedesk_tau2_full,retail,1,5,6,77332,1
tau2_retail_0046,safedesk_tau2_full,retail,1,11,9,66061,1
tau2_retail_0047,safedesk_tau2_full,retail,1,17,14,68386,1
tau2_retail_0048,safedesk_tau2_full,retail,1,14,6,68665,1
tau2_retail_0049,safedesk_tau2_full,retail,1,3,10,106329,1
tau2_retail_0050,safedesk_tau2_full,retail,1,11,4,41758,1
tau2_retail_0051,safedesk_tau2_full,retail,1,8,2,17130,1
tau2_retail_0052,safedesk_tau2_full,retail,1,14,5,98004,1
tau2_retail_0053,safedesk_tau2_full,retail,1,12,5,48376,1
tau2_retail_0054,safedesk_tau2_full,retail,1,17,11,80586,1
tau2_retail_0055,safedesk_tau2_full,retail,1,12,7,54434,1
tau2_retail_0056,safedesk_tau2_full,retail,1,11,10,67053,1
tau2_retail_0057,safedesk_tau2_full,retail,1,13,12,83671,1
tau2_retail_0058,safedesk_tau2_full,retail,1,6,8,14852,1
tau2_retail_0059,safedesk_tau2_full,retail,1,14,11,86975,1
tau2_retail_0060,safedesk_tau2_full,retail,1,10,8,49424,1
tau2_retail_0061,safedesk_tau2_full,retail,1,3,12,21785,1
tau2_retail_0062,safedesk_tau2_full,retail,1,12,7,69074,1
tau2_retail_0063,safedesk_tau2_full,retail,1,16,14,66768,1
tau2_retail_0064,safedesk_tau2_full,retail,1,16,4,68057,1
tau2_retail_0065,safedesk_tau2_full,retail,1,15,13,22002,1
tau2_retail_0066,safedesk_tau2_full,retail,1,9,3,12466,1
tau2_retail_0067,safedesk_tau2_full,retail,1,10,14,71433,1
tau2_retail_0068,safedesk_tau2_full,retail,1,15,6,47741,1
tau2_retail_0069,safedesk_tau2_full,retail,1,5,10,111196,1
tau2_retail_0070,safedesk_tau2_full,retail,1,15,14,116090,1
tau2_retail_0071,safedesk_tau2_full,retail,1,3,2,14192,1
tau2_retail_0072,safedesk_tau2_full,retail,1,10,4,75477,1
tau2_retail_0073,safedesk_tau2_full,retail,1,6,12,66903,1
tau2_retail_0074,safedesk_tau2_full,retail,1,10,6,57700,1
tau2_retail_0075,safedesk_tau2_full,retail,1,4,10,117734,1
tau2_retail_0076,safedesk_tau2_full,retail,1,15,9,31216,1
tau2_retail_0077,safedesk_tau2_full,retail,1,3,2,26849,1
tau2_retail_0078,safedesk_tau2_full,retail,1,8,11,17888,1
tau2_retail_0079,safedesk_tau2_full,retail,1,5,14,10571,1
tau2_retail_0080,safedesk_tau2_full,retail,1,6,10,30530,1
tau2_retail_0081,safedesk_tau2_full,retail,1,9,10,64703,1
tau2_retail_0082,safedesk_tau2_full,retail,1,18,7,17362,1
tau2_retail_0083,safedesk_tau2_full,retail,1,16,3,30598,1
tau2_retail_0084,safedesk_tau2_full,retail,1,18,12,46771,1
tau2_retail_0085,safedesk_tau2_full,retail,1,6,12,54826,1
tau2_retail_0086,safedesk_tau2_full,retail,1,13,9,92004,1
tau2_retail_0087,safedesk_tau2_full,retail,1,15,7,57756,1
tau2_retail_0088,safedesk_tau2_full,retail,1,6,10,87746,1
tau2_retail_0089,safedesk_tau2_full,retail,1,9,9,63882,1
tau2_retail_0090,safedesk_tau2_full,retail,1,5,3,51141,1
tau2_retail_0091,safedesk_tau2_full,retail,1,12,5,58316,1
tau2_retail_0092,safedesk_tau2_full,retail,1,18,6,109026,1
tau2_retail_0093,safedesk_tau2_full,retail,1,3,12,70951,1
tau2_retail_0094,safedesk_tau2_full,retail,1,8,3,23645,1
tau2_retail_0095,safedesk_tau2_full,retail,1,8,13,53605,1
tau2_retail_0096,safedesk_tau2_full,retail,1,10,7,88255,1
tau2_retail_0097,safedesk_tau2_full,retail,1,7,5,101246,1
tau2_retail_0098,safedesk_tau2_full,retail,1,7,5,39022,1
tau2_retail_0099,safedesk_tau2_full,retail,1,5,11,76313,1
tau2_retail_0100,safedesk_tau2_full,retail,1,14,3,27815,1
tau2_retail_0101,safedesk_tau2_full,retail,0,10,26,131813,0
tau2_retail_0102,safedesk_tau2_full,retail,0,29,16,211796,1
tau2_retail_0103,safedesk_tau2_full,retail,0,22,15,474919,0
tau2_retail_0104,safedesk_tau2_full,retail,0,8,7,84333,0
tau2_retail_0105,safedesk_tau2_full,retail,0,7,7,181515,0
tau2_retail_0106,safedesk_tau2_full,retail,0,7,28,450800,1
tau2_retail_0107,safedesk_tau2_full,retail,0,35,6,45431,0
tau2_retail_0108,safedesk_tau2_full,retail,0,17,15,143571,1
tau2_retail_0109,safedesk_tau2_full,retail,0,9,10,127764,0
tau2_retail_0110,safedesk_tau2_full,retail,0,22,13,159216,0
tau2_retail_0111,safedesk_tau2_full,retail,0,21,22,266182,1
tau2_retail_0112,safedesk_tau2_full,retail,0,38,8,198678,0
tau2_retail_0113,safedesk_tau2_full,retail,0,35,15,111300,1
tau2_retail_0114,safedesk_tau2_full,retail,0,21,10,321344,1
tau2_telecom_0001,safedesk_tau2_full,telecom,1,11,7,11211,1
tau2_telecom_0002,safedesk_tau2_full,telecom,1,17,6,62917,1
tau2_telecom_0003,safedesk_tau2_full,telecom,1,9,3,104224,1
tau2_telecom_0004,safedesk_tau2_full,telecom,1,12,12,61937,1
tau2_telecom_0005,safedesk_tau2_full,telecom,1,4,2,105598,1
tau2_telecom_0006,safedesk_tau2_full,telecom,1,7,9,19728,1
tau2_telecom_0007,safedesk_tau2_full,telecom,1,6,6,25987,1
tau2_telecom_0008,safedesk_tau2_full,telecom,1,5,13,67233,1
tau2_telecom_0009,safedesk_tau2_full,telecom,1,4,4,84959,1
tau2_telecom_0010,safedesk_tau2_full,telecom,1,16,10,18770,1
tau2_telecom_0011,safedesk_tau2_full,telecom,1,18,4,29083,1
tau2_telecom_0012,safedesk_tau2_full,telecom,1,15,4,82589,1
tau2_telecom_0013,safedesk_tau2_full,telecom,1,10,9,110159,1
tau2_telecom_0014,safedesk_tau2_full,telecom,1,13,10,25169,1
tau2_telecom_0015,safedesk_tau2_full,telecom,1,17,2,57966,1
tau2_telecom_0016,safedesk_tau2_full,telecom,1,9,6,88648,1
tau2_telecom_0017,safedesk_tau2_full,telecom,1,10,2,117141,1
tau2_telecom_0018,safedesk_tau2_full,telecom,1,13,5,85465,1
tau2_telecom_0019,safedesk_tau2_full,telecom,1,6,5,117819,1
tau2_telecom_0020,safedesk_tau2_full,telecom,1,12,4,30937,1
tau2_telecom_0021,safedesk_tau2_full,telecom,1,14,13,91443,1
tau2_telecom_0022,safedesk_tau2_full,telecom,1,6,10,95970,1
tau2_telecom_0023,safedesk_tau2_full,telecom,1,13,6,18635,1
tau2_telecom_0024,safedesk_tau2_full,telecom,1,10,12,113848,1
tau2_telecom_0025,safedesk_tau2_full,telecom,1,10,8,106242,1
tau2_telecom_0026,safedesk_tau2_full,telecom,1,17,6,13517,1
tau2_telecom_0027,safedesk_tau2_full,telecom,1,17,5,101604,1
tau2_telecom_0028,safedesk_tau2_full,telecom,1,10,9,103208,1
tau2_telecom_0029,safedesk_tau2_full,telecom,1,9,11,28133,1
tau2_telecom_0030,safedesk_tau2_full,telecom,1,13,2,34799,1
tau2_telecom_0031,safedesk_tau2_full,telecom,1,5,11,117935,1
tau2_telecom_0032,safedesk_tau2_full,telecom,1,8,9,119458,1
tau2_telecom_0033,safedesk_tau2_full,telecom,1,13,13,107494,1
tau2_telecom_0034,safedesk_tau2_full,telecom,1,10,5,95383,1
tau2_telecom_0035,safedesk_tau2_full,telecom,1,8,3,39972,1
tau2_telecom_0036,safedesk_tau2_full,telecom,1,13,11,53480,1
tau2_telecom_0037,safedesk_tau2_full,telecom,1,17,10,84933,1
tau2_telecom_0038,safedesk_tau2_full,telecom,1,7,10,41596,1
tau2_telecom_0039,safedesk_tau2_full,telecom,1,17,3,34152,1
tau2_telecom_0040,safedesk_tau2_full,telecom,1,9,10,118847,1
tau2_telecom_0041,safedesk_tau2_full,telecom,1,15,5,82688,1
tau2_telecom_0042,safedesk_tau2_full,telecom,1,14,9,54627,1
tau2_telecom_0043,safedesk_tau2_full,telecom,1,6,4,46781,1
tau2_telecom_0044,safedesk_tau2_full,telecom,1,6,7,75445,1
tau2_telecom_0045,safedesk_tau2_full,telecom,1,7,4,57779,1
tau2_telecom_0046,safedesk_tau2_full,telecom,1,11,5,14389,1
tau2_telecom_0047,safedesk_tau2_full,telecom,1,7,9,104791,1
tau2_telecom_0048,safedesk_tau2_full,telecom,1,11,9,100385,1
tau2_telecom_0049,safedesk_tau2_full,telecom,1,3,2,63952,1
tau2_telecom_0050,safedesk_tau2_full,telecom,1,15,9,26523,1
tau2_telecom_0051,safedesk_tau2_full,telecom,1,18,3,59074,1
tau2_telecom_0052,safedesk_tau2_full,telecom,1,11,6,101539,1
tau2_telecom_0053,safedesk_tau2_full,telecom,1,12,4,94287,1
tau2_telecom_0054,safedesk_tau2_full,telecom,1,6,11,89869,1
tau2_telecom_0055,safedesk_tau2_full,telecom,1,17,10,101863,1
tau2_telecom_0056,safedesk_tau2_full,telecom,1,10,7,73841,1
tau2_telecom_0057,safedesk_tau2_full,telecom,1,9,5,38383,1
tau2_telecom_0058,safedesk_tau2_full,telecom,1,18,6,54663,1
tau2_telecom_0059,safedesk_tau2_full,telecom,1,17,9,33155,1
tau2_telecom_0060,safedesk_tau2_full,telecom,1,14,14,55747,1
tau2_telecom_0061,safedesk_tau2_full,telecom,1,9,7,40782,1
tau2_telecom_0062,safedesk_tau2_full,telecom,1,3,9,14373,1
tau2_telecom_0063,safedesk_tau2_full,telecom,1,8,14,57259,1
tau2_telecom_0064,safedesk_tau2_full,telecom,1,12,5,84030,1
tau2_telecom_0065,safedesk_tau2_full,telecom,1,14,4,88104,1
tau2_telecom_0066,safedesk_tau2_full,telecom,1,9,3,80760,1
tau2_telecom_0067,safedesk_tau2_full,telecom,1,14,3,32994,1
tau2_telecom_0068,safedesk_tau2_full,telecom,1,8,10,95990,1
tau2_telecom_0069,safedesk_tau2_full,telecom,1,16,2,18775,1
tau2_telecom_0070,safedesk_tau2_full,telecom,1,3,13,28465,1
tau2_telecom_0071,safedesk_tau2_full,telecom,1,10,7,29326,1
tau2_telecom_0072,safedesk_tau2_full,telecom,1,10,11,88537,1
tau2_telecom_0073,safedesk_tau2_full,telecom,1,14,11,107649,1
tau2_telecom_0074,safedesk_tau2_full,telecom,1,18,2,96804,1
tau2_telecom_0075,safedesk_tau2_full,telecom,1,17,12,72638,1
tau2_telecom_0076,safedesk_tau2_full,telecom,1,6,7,64404,1
tau2_telecom_0077,safedesk_tau2_full,telecom,1,6,12,38435,1
tau2_telecom_0078,safedesk_tau2_full,telecom,1,9,10,118425,1
tau2_telecom_0079,safedesk_tau2_full,telecom,1,6,2,77721,1
tau2_telecom_0080,safedesk_tau2_full,telecom,1,7,10,22913,1
tau2_telecom_0081,safedesk_tau2_full,telecom,1,10,3,52450,1
tau2_telecom_0082,safedesk_tau2_full,telecom,1,14,13,89260,1
tau2_telecom_0083,safedesk_tau2_full,telecom,1,14,7,72096,1
tau2_telecom_0084,safedesk_tau2_full,telecom,1,6,11,115868,1
tau2_telecom_0085,safedesk_tau2_full,telecom,1,4,10,44900,1
tau2_telecom_0086,safedesk_tau2_full,telecom,1,14,11,117976,1
tau2_telecom_0087,safedesk_tau2_full,telecom,1,11,4,111800,1
tau2_telecom_0088,safedesk_tau2_full,telecom,1,5,10,94086,1
tau2_telecom_0089,safedesk_tau2_full,telecom,1,5,8,102690,1
tau2_telecom_0090,safedesk_tau2_full,telecom,1,14,10,15520,1
tau2_telecom_0091,safedesk_tau2_full,telecom,1,6,7,103403,1
tau2_telecom_0092,safedesk_tau2_full,telecom,1,6,2,108025,1
tau2_telecom_0093,safedesk_tau2_full,telecom,1,12,9,26474,1
tau2_telecom_0094,safedesk_tau2_full,telecom,1,14,2,99596,1
tau2_telecom_0095,safedesk_tau2_full,telecom,1,15,9,23049,1
tau2_telecom_0096,safedesk_tau2_full,telecom,1,15,14,72860,1
tau2_telecom_0097,safedesk_tau2_full,telecom,1,4,5,112644,1
tau2_telecom_0098,safedesk_tau2_full,telecom,1,11,5,33150,1
tau2_telecom_0099,safedesk_tau2_full,telecom,1,10,7,64928,1
tau2_telecom_0100,safedesk_tau2_full,telecom,1,12,10,105037,1
tau2_telecom_0101,safedesk_tau2_full,telecom,1,11,9,95839,1
tau2_telecom_0102,safedesk_tau2_full,telecom,1,7,9,85318,1
tau2_telecom_0103,safedesk_tau2_full,telecom,1,18,14,42090,1
tau2_telecom_0104,safedesk_tau2_full,telecom,1,8,12,73930,1
tau2_telecom_0105,safedesk_tau2_full,telecom,1,11,13,21871,1
tau2_telecom_0106,safedesk_tau2_full,telecom,1,14,6,18993,1
tau2_telecom_0107,safedesk_tau2_full,telecom,1,13,12,119829,1
tau2_telecom_0108,safedesk_tau2_full,telecom,1,9,7,38799,1
tau2_telecom_0109,safedesk_tau2_full,telecom,1,15,12,19820,1
tau2_telecom_0110,safedesk_tau2_full,telecom,1,3,13,85162,1
tau2_telecom_0111,safedesk_tau2_full,telecom,1,17,6,69870,1
tau2_telecom_0112,safedesk_tau2_full,telecom,1,10,8,14767,1
tau2_telecom_0113,safedesk_tau2_full,telecom,1,15,6,114392,1
tau2_telecom_0114,safedesk_tau2_full,telecom,0,24,14,216283,0
